"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6"
"1","Il1b","Cxcl2","Malat1","S100a9","S100a8","S100a8"
"2","Tmsb4x","Ccrl2","Neat1","G0s2","Ifitm6","S100a9"
"3","Malat1","Fth1","Lyst","Cxcl2","S100a9","Wfdc17"
"4","Fth1","Nfkbia","Arhgap15","S100a8","S100a6","Retnlg"
"5","S100a9","Malat1","Picalm","Fth1","Retnlg","Ifitm1"
"6","Ftl1","Ier3","Ccnd3","Actg1","Lyz2","Fth1"
"7","Fau","Irg1","Arhgap26","Cebpb","Lcn2","Wfdc21"
"8","Ubb","Gadd45b","Cers6","Cd14","BC100530","Tmsb4x"
"9","Dusp1","Ftl1","Ssh2","Wfdc17","Tmsb4x","Il1b"
"10","Junb","Ifrd1","mt-Co1","Srgn","Stfa3","Malat1"
"11","Tpt1","Cebpb","Ptprc","Malat1","Ngp","BC100530"
"12","Fos","Srgn","Dock2","Il1b","BC117090","Srgn"
"13","Rps27","Hcar2","Pag1","Actb","Anxa1","Actb"
"14","H3f3b","S100a9","Svil","Retnlg","Actb","Dusp1"
"15","Srgn","Tnfaip3","Igf1r","Ifitm1","Stfa2","S100a11"
"16","Rps9","Il1b","Akap13","Tmsb4x","Wfdc21","Alox5ap"
"17","Btg1","Mcl1","Gab2","Entpd1","Gm5483","Ifitm2"
"18","Actb","H3f3b","Pbx1","Antxr2","Pglyrp1","Stfa2l1"
"19","Actg1","Ptgs2","Dennd4a","Slc16a3","Mmp8","Junb"
"20","Cebpb","Il1r2","S100a9","Eif1","Prdx5","Rps9"
"21","Lst1","Junb","Fbxl5","Sgms2","Cd52","Ubb"
"22","Hp","Plek","Tmcc1","mt-Co1","mt-Co1","Fos"
"23","Rps29","Pik3ap1","Gda","Trem1","Gapdh","Gm5483"
"24","Ifitm2","Tmsb4x","Sorl1","S100a11","Lgals3","Actg1"
"25","Klf2","Tra2a","Cmip","Pim1","S100a11","H3f3a"
"26","Msrb1","Irak2","Gpcpd1","Mxd1","Alox5ap","Ftl1"
"27","H3f3a","Pnrc1","Herc4","Ifitm2","Prok2","Msrb1"
"28","Zfp36","S100a8","Csf3r","Btg1","Cd177","Hp"
"29","Rpl18a","Suco","Lyn","Lmnb1","Ifitm3","Tspo"
"30","H2-D1","Pim1","Gm42418","Hdc","Actg1","Fau"
"31","Eif1","Ubb","Apbb1ip","Xylt1","Arhgdib","Cebpb"
"32","Ptma","Zeb2","Ppp3ca","Il1r2","Fth1","Stfa2"
"33","Ifitm1","Eif1","Elmo1","H3f3a","Malat1","S100a6"
"34","Fcer1g","Hilpda","Fos","Clec4d","mt-Co3","Tyrobp"
"35","Tyrobp","Spag9","Phf21a","Plaur","Tspo","mt-Co1"
"36","Rpl41","Fau","Gcnt2","Cmip","Ifitm2","Lcn2"
"37","Cst3","Cd14","S100a8","Chst11","H3f3a","Mcl1"
"38","Rps27a","Basp1","mt-Co2","Wfdc21","mt-Atp6","Tpt1"
"39","Btg2","Mapkapk2","Sgms1","Tpt1","Ly6g","Cd52"
"40","Rps16","Tpt1","Xylt1","Ndel1","Asprv1","Zfp36"
"41","Rpl39","Zfp36","Ankrd44","Rps9","Pfn1","Csf3r"
"42","Jund","G0s2","Celf2","Picalm","Cyba","Klf2"
"43","Map1lc3b","Samsn1","Pip4k2a","H3f3b","Wfdc17","Btg1"
"44","Rps10","H2-D1","Fgr","Tyrobp","mt-Co2","Grina"
"45","Ccrl2","Gab2","mt-Co3","Spag9","Mmp9","H2-D1"
"46","Rpl27a","Ccnl1","Usp32","Mcl1","Tkt","Ccl6"
"47","Fxyd5","Tiparp","Baz2b","Tpd52","Tpt1","Rps27a"
"48","Mcl1","Clec4e","Skap2","Cd9","Rac2","Gapdh"
"49","Hsp90aa1","Litaf","Adgre5","BC100530","Hp","Lrg1"
"50","Kpna4","Neat1","Prkcb","Smox","Rps24","Il1r2"
"51","Dennd4a","Cdkn1a","Hdc","Ftl1","Coro1a","Anxa1"
"52","Adgre5","H2-K1","Jmjd1c","Litaf","Sh3bgrl3","Map1lc3b"
"53","Rpl17","Mbnl2","Cd300lf","Samsn1","Stfa2l1","Fcer1g"
"54","Rpl23","Fnip1","mt-Atp6","Arg2","Tyrobp","Lcp1"
"55","Rps21","Sdcbp","Txnip","S100a6","Rps9","Hmgb2"
"56","Ier5","Ppp1r15a","Atrnl1","Emilin2","Lrg1","Jund"
"57","Rpl9","Ubc","Klhl2","Cd44","Anxa2","Cxcl2"
"58","Jun","Mif","Srgn","Ddx5","Myl6","Tpd52"
"59","Rplp2","Clec4d","Kdm7a","Sik3","Arpc1b","Socs3"
"60","Rps23","Ptafr","Ipcef1","Rnf149","Ftl1","H3f3b"
"61","Pim1","Pgam1","Fam49b","Stfa2l1","Mgst1","Fxyd5"
"62","Lrg1","Birc3","Whsc1l1","Junb","Rps27a","Picalm"
"63","Rps14","Nfkbiz","Rassf3","App","Txn1","Hdc"
"64","Ddx5","Gm42418","Stk17b","Ets2","Aldh2","Lsp1"
"65","Hspa8","Mxd1","Lcp1","Arpc3","Shfm1","Btg2"
"66","Rps3","Bcl2l1","Il18rap","Alcam","Gpi1","Zyx"
"67","Rpl38","Prdx5","Cd44","Fxyd5","Gpx1","Coro1a"
"68","Csf3r","Marcksl1","Cd84","Fau","Rpsa","Pfn1"
"69","Rps13","Lilrb4a","Trps1","Ctnnb1","Taldo1","Pglyrp1"
"70","Tsc22d3","B2m","Ube2h","Grina","Prr13","Eif1"
"71","Mir142hg","Kpna4","Map3k5","Osbpl9","Arpc2","Txn1"
"72","Ier2","Ctsb","Iqgap1","Snx18","Pkm","Cxcr2"
"73","Neat1","Ccl3","Camk1d","Il1rap","Itm2b","Stk17b"
"74","Zfp36l2","Gapdh","Fam65b","Plin2","Vasp","Mxd1"
"75","B2m","Actb","Atxn1","Pfn1","Sri","Rac2"
"76","Hmgb2","Btg1","Klf2","H2-D1","Eef1a1","Gda"
"77","Ppia","H3f3a","Tmsb4x","Nedd9","Adpgk","Ifitm3"
"78","Socs3","Dusp1","Nedd9","Alox5ap","Ostf1","Taldo1"
"79","Plin2","Arg2","App","mt-Co2","Gnai2","Arg2"
"80","Saa3","Actg1","Tpd52","Gm5483","Fcer1g","Gpcpd1"
"81","Rps3a1","Osbpl9","Cask","Klhl2","Gm8730","Pim1"
"82","Il1r2","Cd274","Cpd","Lcp1","Calm1","Litaf"
"83","Rpl30","Pkm","Dusp1","Irg1","Hmgb2","Rps29"
