"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7","SC78_8_factor8","SC78_8_factor9"
"1","Malat1","S100a9","Malat1","Retnlg","S100a9","Il1b","Nfkbia","mt-Co3","Isg15"
"2","Antxr2","S100a8","Il1b","S100a8","Actg1","S100a9","Ccrl2","mt-Atp6","Slfn4"
"3","S100a9","Il1b","Fth1","S100a9","G0s2","Malat1","Cxcl2","mt-Cytb","Rtp4"
"4","Xylt1","Cxcl2","Cebpb","Lcn2","S100a8","S100a8","Fth1","mt-Co2","Rsad2"
"5","Sgms2","G0s2","Ftl1","Wfdc21","Srgn","Tmsb4x","Gadd45b","mt-Co1","Oasl1"
"6","Entpd1","Fth1","Tmsb4x","Lyz2","Malat1","Wfdc17","Irg1","mt-Nd4","Ifitm3"
"7","Cxcl2","Cebpb","Srgn","S100a6","Cd14","Fos","Zeb2","mt-Nd2","Sp100"
"8","Spag9","Malat1","H3f3b","Tmsb4x","Tmsb4x","Dusp1","S100a9","mt-Nd1","Malat1"
"9","Cd44","Srgn","Eif1","Lgals3","Cxcl2","Srgn","Il1b","mt-Nd5","Gm13822"
"10","Srgn","Tmsb4x","Atf3","Gapdh","Actb","Fth1","Malat1","Rps3a1","Trim30a"
"11","Neat1","Actg1","S100a9","Actb","Fth1","Junb","Nfkb1","Rpl13a","Ddx60"
"12","Cebpb","Wfdc17","Il1r2","Prdx5","Cebpb","Klf2","Nfkbiz","Rplp1","Oas3"
"13","Ptprj","Actb","Spag9","Fth1","Il1b","Ifitm1","Birc3","Rps8","Plac8"
"14","Alcam","Dusp1","Junb","S100a11","Cd44","Actb","Tnfaip3","Rpl11","Irf7"
"15","G0s2","Ftl1","Ubb","Stx11","Eif1","Msrb1","Marcksl1","Rps24","Fth1"
"16","Slc7a11","S100a11","Dusp1","Pglyrp1","Ifitm2","Zfp36","Srgn","Eef1a1","Il1b"
"17","Chst11","Eif1","Ccrl2","Ifitm6","Entpd1","Ftl1","Clec4e","Rpl8","Smchd1"
"18","Sik3","Ifitm2","Actg1","Mgst1","S100a11","Csf3r","Pim1","Rps15a","Srgn"
"19","Pik3ap1","Cd14","Fau","Ccl6","Tyrobp","Ubb","Pde4b","Rpl19","Samhd1"
"20","Il1r2","H3f3a","Tpt1","Mmp8","Alcam","Rps9","Cd14","mt-Nd4l","Ifi27l2a"
"21","S100a8","Mcl1","Gadd45b","BC100530","Btg1","Picalm","G0s2","Rpl13","B2m"
"22","Kpna4","Junb","Mcl1","Anxa1","H3f3b","Dennd4a","Irak2","Rpl18","Isg20"
"23","Il1b","Irg1","Ptgs2","Actg1","Tpt1","S100a11","Tmsb4x","Rps7","Parp14"
"24","Picalm","Slc16a3","Ifrd1","Arhgdib","Ftl1","Hp","Cebpb","Rps6","H2-D1"
"25","Tpd52","Il1r2","Ifitm2","G0s2","Slc16a3","Stk17b","S100a8","Rps15","Slfn1"
"26","Dennd4a","Rps9","Kpna4","Cd52","Wfdc17","H3f3a","Nlrp3","Rps11","Irg1"
"27","Igf1r","H3f3b","Lst1","H3f3a","Clec4d","Tyrobp","Kdm6b","Rpl27a","Cebpb"
"28","Hdc","Mxd1","Plek","Gm5483","Fau","Ifitm2","Il1rn","Rps3","H2-K1"
"29","Ankrd33b","Msrb1","Ets2","Alox5ap","Cd9","Gpcpd1","Rnf149","Rps28","Herc6"
"30","Lilrb4a","Btg1","Btg2","Msra","H3f3a","Cxcr2","Dusp16","Rplp2","Ddx58"
