"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6"
"1","Il1b","mt-Atp6","S100a8","S100a9","S100a9","Nfkbia"
"2","Cebpb","mt-Co2","S100a9","Il1b","G0s2","Ccrl2"
"3","S100a9","mt-Co3","Retnlg","Malat1","Srgn","Cxcl2"
"4","Srgn","mt-Co1","Lyz2","Tmsb4x","Cd44","Fth1"
"5","Il1r2","mt-Nd4","G0s2","S100a8","Actg1","S100a9"
"6","Fth1","mt-Cytb","Tmsb4x","Srgn","Malat1","Srgn"
"7","Malat1","Eef1a1","S100a6","Fth1","Cebpb","Il1b"
"8","Tmsb4x","mt-Nd2","Actg1","Dennd4a","S100a8","Zeb2"
"9","Actg1","Rpl37a","Fth1","Actb","Actb","Irg1"
"10","G0s2","mt-Nd1","Actb","Ftl1","Tmsb4x","Malat1"
"11","Dusp1","Rpl39","S100a11","Dusp1","Alcam","Cebpb"
"12","Ftl1","Rplp1","Srgn","Zfp36","Xylt1","G0s2"
"13","Actb","Rps21","Ftl1","Csf3r","Entpd1","Marcksl1"
"14","Junb","Rpl35a","Cebpb","Msrb1","Il1b","Tmsb4x"
"15","Cd44","Rpl8","Cxcl2","Fos","Chst11","Junb"
"16","Eif1","Rps8","H3f3a","Junb","Cd14","Nfkb1"
"17","Ccrl2","Rps10","Gm5483","Picalm","Cxcl2","Actg1"
"18","Pim1","Rps3a1","Ccl6","Il1r2","Plaur","Actb"
"19","Xylt1","Rps29","Malat1","Ptprc","Btg1","Nfkbiz"
"20","Plek","Rpl10","Il1b","Klf2","Spag9","Cd14"
"21","Msrb1","Tpt1","Plaur","Actg1","Cd9","Mxd1"
"22","Entpd1","Tmsb4x","Slc16a3","Stk17b","Il1r2","Birc3"
"23","Cxcl2","Rplp2","Stx11","Btg2","Cmip","Pim1"
"24","Litaf","Rpl17","Eif1","Kpna4","Fth1","Rnf149"
"25","Spag9","Rps16","Tyrobp","Arhgap15","Eif1","Nlrp3"
"26","Btg1","Rpl41","Msrb1","Neat1","Dusp1","Plek"
"27","H3f3b","Rpl38","Prdx5","Pbx1","Clec4d","Irak2"
"28","S100a8","Rpl34","Lgals3","S100a11","Hdc","Clec4e"
"29","Neat1","Rpl27a","Coro1a","Tyrobp","Plek","Kdm6b"
"30","Atp2b1","Rpl23","Nedd9","Sorl1","Antxr2","Pde4b"
"31","Hdc","Malat1","H2-D1","Rps9","Nedd9","S100a8"
"32","Mcl1","Rps3","Mxd1","Gcnt2","H3f3b","Ftl1"
"33","Lmnb1","Rps14","Osm","H2-D1","Ftl1","Il1rn"
"34","Slc16a3","Actb","Lcn2","Cxcr2","Sgms2","Dusp2"
"35","Kpna4","Rpl18","Cd9","Cebpb","Tyrobp","Gadd45b"
"36","Clec4d","Rps12","Hp","Btg1","Pim1","Hdc"
"37","Ets2","mt-Nd5","Mcemp1","Lst1","Neat1","Tnfaip3"
"38","Cd9","Rps23","Rps9","Ubb","Mxd1","Eif1"
"39","Tyrobp","Rps24","Samsn1","Fam65b","Sik3","Dusp1"
"40","H2-D1","Rps27","Cyp4f18","Skap2","Slc7a11","Btg1"
"41","Csf3r","Rpl13a","Grina","Plek","Slc16a3","Tnfaip2"
"42","Sik3","Rpl30","Btg1","Mxd1","Cd53","Spag9"
"43","Tpd52","Fau","Dusp1","Entpd1","Lyn","H2-D1"
"44","Ankrd33b","Rps13","Il1r2","Fam49b","Lmnb1","Tyrobp"
"45","S100a11","Rpl26","Arpc3","Lyst","Tgm2","Ehd1"
"46","Chst11","Rpl9","Fau","Jund","Litaf","Clec4d"
