"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4"
"1","S100a9","Retnlg","S100a9","Nfkbia"
"2","S100a8","S100a8","Il1b","Ccrl2"
"3","Malat1","S100a9","S100a8","Gadd45b"
"4","Actg1","S100a6","Malat1","Fth1"
"5","Srgn","Wfdc21","Tmsb4x","Malat1"
"6","Cebpb","Lyz2","Srgn","Cxcl2"
"7","G0s2","Lcn2","Wfdc17","Il1b"
"8","Fth1","Tmsb4x","Zfp36","Irg1"
"9","Il1b","mt-Co1","Fth1","Srgn"
"10","Tmsb4x","Lgals3","Actb","Ifrd1"
"11","Actb","mt-Atp6","Fos","Tmsb4x"
"12","Cxcl2","Actb","Junb","Tnfaip3"
"13","Xylt1","Prdx5","Dusp1","Cebpb"
"14","Slc16a3","mt-Co3","Csf3r","Pim1"
"15","Wfdc17","S100a11","Ftl1","Zeb2"
"16","Entpd1","Gapdh","Picalm","Marcksl1"
"17","Cd44","mt-Co2","Msrb1","Ftl1"
"18","Il1r2","Pglyrp1","Dennd4a","Plek"
"19","Eif1","G0s2","Actg1","B2m"
"20","Sgms2","Mmp8","Cebpb","Ptgs2"
"21","Btg1","Anxa1","Il1r2","Birc3"
"22","Spag9","Cd52","Mcl1","Junb"
"23","Antxr2","Gm5483","Kpna4","Zfp36"
"24","Clec4d","BC100530","Ptprc","Spag9"
"25","Ftl1","Actg1","Rps9","Clec4e"
"26","Mxd1","Arhgdib","S100a11","Irak2"
"27","Alcam","Fth1","Tpd52","Mapkapk2"
"28","Irg1","mt-Cytb","Btg2","Kdm6b"
"29","Cd14","Ifitm6","Stk17b","H2-K1"
"30","Dusp1","Rps27a","H3f3a","H2-D1"
"31","Hdc","Mmp9","Rnf149","H3f3b"
"32","S100a11","Prr13","Btg1","Mxd1"
"33","H3f3b","Pfn1","Mxd1","Hdc"
"34","Tpd52","Tspo","Hdc","S100a9"
"35","Rnf149","Coro1a","Sorl1","Ptafr"
"36","Chst11","Alox5ap","Litaf","Actb"
"37","Lmnb1","Cyba","Lcp1","Tnfaip2"
"38","Smox","Malat1","Tyrobp","Eif1"
"39","Litaf","Rac2","Ubb","Nfkbiz"
"40","Cd9","Rplp0","Lrg1","Mcl1"
"41","H3f3a","Mgst1","Neat1","Actg1"
"42","Mcl1","Txn1","Ifitm2","Cd274"
"43","Kpna4","Tyrobp","Gcnt2","Ifitm2"
"44","Isg15","Hp","Cxcr2","Cd14"
"45","Ifitm2","Mcemp1","Fau","Erbb2ip"
"46","Plek","Wfdc17","Ddx6","Tpt1"
"47","Csf3r","H3f3a","Klf2","Btg1"
"48","Samsn1","Myl6","Gpcpd1","Ier3"
"49","Sik3","Itm2b","Hmgb2","Il1r2"
"50","Msrb1","Stx11","Plek","Dusp1"
"51","Tyrobp","Anxa2","Lmnb1","Isg15"
"52","Slc7a11","Ifitm2","Ifitm1","Fcer1g"
"53","Pim1","Gpx1","Hp","Pik3ap1"
"54","Lilrb4a","Ifitm3","H2-D1","Ets2"
"55","Emilin2","Atxn10","Arg2","Rnf149"
"56","Rps9","Serf2","Skap2","G0s2"
"57","Cmip","Taldo1","Gm42418","2810474O19Rik"
"58","Ptprc","mt-Nd4","Marcks","Dennd4a"
"59","Ndel1","Arhgap15","Cmip","Lst1"
"60","Trem1","Lcp1","Zfp36l2","Fau"
"61","Junb","Ccl6","Iqgap1","Tyrobp"
"62","Picalm","Shfm1","Jund","Lmnb1"
"63","Neat1","Vasp","Txn1","Btg2"
"64","Ets2","Plaur","Eif1","Il1rn"
"65","Sorl1","Asprv1","Fcer1g","Nlrp3"
"66","Pik3ap1","Arpc1b","Osbpl9","Ppp1r15a"
"67","Fxyd5","Rps9","Grina","Msrb1"
"68","Lcp1","Sh3bgrl3","Ube2h","Csf1"
"69","Plaur","Ftl1","Ddx5","Malt1"
"70","Arg2","Arpc5","Fam49b","Ifitm1"
"71","H2-D1","Pkm","H3f3b","Marcks"
"72","Grina","Rps24","March7","Ptprc"
"73","Tpt1","Arpc2","Ssh2","Csf3r"
"74","Slfn4","Glrx","Lyn","Atp2b1"
"75","Gm42418","Gnai2","Entpd1","Slfn2"
"76","Ptprj","R3hdm4","Ncf2","Litaf"
"77","Ddx5","Cotl1","Lst1","Kpna4"
"78","Ctnnb1","Ly6g","Fam65b","H3f3a"
"79","Nedd9","Cdc42","Arhgap26","Neat1"
"80","Fau","Ostf1","Lyst","Pnrc1"
"81","Ddx6","Msra","Fxyd5","Pde4b"
"82","Hif1a","Nedd9","Svil","Nfkb1"
"83","App","Srgn","Pim1","Nr4a1"
"84","S100a6","Fcer1g","Snap23","Tnfrsf1b"
"85","Ccr1","Cfl1","Alox5ap","Rps9"
"86","Rabgef1","Eif1","B2m","Gm42418"
"87","Lyn","Stfa2","Gda","Cxcr4"
"88","Fcer1g","Actr3","Phf21a","Clec4d"
"89","Osbpl9","Hmgb2","Cd44","Rab8b"
"90","Cd53","Psap","Coro1a","Samsn1"
"91","Btbd9","Mrgpra2b","Stat3","Cd44"
"92","Ankrd33b","Mrpl33","Taldo1","Ncf1"
"93","Arpc3","Msrb1","Il1rap","Irf1"
"94","Lilr4b","Rps29","Akap13","Sema4d"
"95","Baz2b","Uba52","Xylt1","Ddx5"
"96","Ctsd","Iqgap1","Cers6","Rps27"
"97","Txn1","Aldoa","Ndel1","Chst11"
"98","Igf1r","Arpc3","Lsp1","Arg2"
"99","Sh2d3c","Gda","Celf2","Lcp2"
"100","Ifitm1","Fau","S100a6","Fgl2"
"101","Sdcbp","App","Osm","Hspa5"
"102","Rab7","Gmfg","Emilin2","Snap23"
"103","Ncf2","H2-D1","Antxr2","Ctsz"
"104","Btg2","Eef1a1","Tmcc1","Txn1"
"105","Sp140","Gm42418","Igf1r","Pfn1"
"106","Lyst","Clic1","Tpt1","Ptprj"
"107","Actr3","Myl12b","Pla2g7","Rps29"
"108","mt-Co1","Pygl","Steap4","Ier5"
"109","Gab2","Actn1","Trem1","Dusp16"
"110","Lamp2","Tkt","Anxa1","Tpd52"
"111","Dennd4a","Gpi1","Map3k5","Hcar2"
"112","March7","Tpt1","Anxa2","Cdk2ap2"
"113","Suco","Rpl9","Usp32","Rel"
"114","Iqgap1","Lsp1","Gm5150","Ehd1"
"115","Fosl2","Mxd1","Nup98","Lilrb4a"
"116","Il1rap","Rpl34","Zyx","Casp4"
"117","Tpm4","Cnn2","Chst11","Ubb"
"118","B2m","Ncf4","Selplg","Ifitm3"
"119","Braf","Rps10","Cd84","Nfe2l2"
"120","Gcnt2","Spi1","Coq10b","Plac8"
"121","Cyth1","Ubb","Pag1","mt-Atp6"
"122","Por","Rpl37","Irg1","H2-Q7"
"123","Etf1","BC117090","Cytip","mt-Co3"
"124","Trib1","Dstn","Arhgap15","Ccnl1"
"125","Pnrc1","Hspa8","Lilrb4a","Cd9"
"126","Jdp2","Calm1","Suco","C5ar1"
"127","Fem1c","Myh9","Tspo","Adam17"
"128","Fam134b","Cd14","Map1lc3b","Cst3"
"129","Atp2b1","Cap1","Nfkbiz","Ninj1"
"130","Hectd1","Gng5","Ccr1","Rsad2"
"131","Mir142hg","Stfa2l1","Klf6","Rab7"
"132","Sp100","Rps12","Etf1","Cd52"
"133","Mbnl2","Hpcal1","Sat1","Gabarap"
"134","Ccnl1","Lrg1","Socs3","Lcp1"
"135","2810474O19Rik","Grina","Ier5","S100a11"
"136","Stx11","Oaz1","G0s2","Ddx3x"
"137","Vps4b","Fbxl5","Adgre5","Picalm"
"138","Gda","Rps11","Gadd45a","Rap1b"
"139","Mrpl33","Timp2","Pfn1","Trem1"
"140","Clec4e","Lbr","Rps27a","Zc3hav1"
"141","Jund","Atp6v1g1","Sdcbp","Ctsb"
"142","Slc15a3","Rhoa","Fbxl5","Msn"
"143","Stk17b","Glipr2","Cd52","Ccl3"
"144","Cd300lf","Rps7","Gab2","Antxr2"
"145","Hp","Rpl37a","Tbc1d15","Fxyd5"
"146","Ralgapa1","Eno1","Arih1","Ankrd33b"
"147","Adam8","Mctp1","Zfand5","Abtb2"
"148","Gabarap","Fam65b","Sell","Jund"
"149","Coro1a","Sri","Syk","Sik3"
"150","Snap23","Adam8","Rap1b","Gsap"
"151","Ier3","Itgb2","App","Csrnp1"
"152","Ptafr","Gpsm3","Ets2","Ncf4"
"153","Pde7b","Ube2d3","Clec4d","Fndc3b"
"154","Cyp4f18","Rps3","Samsn1","Dock2"
"155","Pag1","Cd9","Slc16a3","Lyn"
"156","Pfn1","Pgd","Pbx1","Dusp2"
"157","Marcks","Rps3a1","Ipcef1","Tra2a"
"158","Alox5ap","Cox4i1","Cdc42","Bcl2l11"
"159","Kdm6b","Ptprc","Lamp2","Wnk1"
"160","Ubb","Zyx","Tspan13","Traf3"
"161","Mctp1","Lyn","Atg3","Xylt1"
"162","Arpc2","Rpl35a","Cd300lf","Samhd1"
"163","Notch2","Vim","Rac2","Snx20"
"164","Tgoln1","Rps16","Dock2","Rabgef1"
"165","Ell2","Rpl27a","Fgl2","Ubc"
"166","Map2k4","Hck","Ccnd3","Rbpj"
"167","Fnip1","Kdm7a","Ccrl2","Fgr"
"168","Taldo1","Osm","Rab8b","Sgms2"
"169","Diaph1","Cebpb","Cd9","Grina"
"170","Selk","Pnkp","Samhd1","Rps16"
"171","Snx18","Mbd2","Mctp2","Smox"
"172","Sell","1110008F13Rik","Sh2d3c","Tmbim6"
"173","Cd52","Rpl28","Tra2a","Slc7a11"
"174","Zeb2","Chil1","Braf","Tgoln1"
"175","Hmgb2","Actr2","Ccnl1","Mir142hg"
"176","Ddx3x","Rpl7","Slfn4","Rpl39"
"177","Map1lc3b","Cxcr2","Clk1","Cmip"
"178","Lsp1","Vsir","Tgfbi","Gbp2b"
"179","Lrg1","Pten","Camk1d","Adgre5"
"180","Smchd1","Tmcc1","Egr1","Cyba"
"181","Tlr4","Itgam","Atp6v1g1","Cd300a"
"182","Rtp4","Rap1b","Fgr","H2-T23"
"183","Plk3","Dhrs7","Arhgap24","Cd53"
"184","Pla2g7","Fpr2","Rbm39","Sorl1"
"185","Dusp5","H3f3b","Cxcr4","Slfn4"
"186","Sat1","Mcl1","Mapkapk2","Neurl3"
"187","mt-Co2","Gabarap","Pde4b","Atf3"
"188","Samhd1","Sh3glb1","Mir142hg","Vasp"
"189","H2-K1","Gnb2","Kdm7a","1700112E06Rik"
"190","Dusp16","Rps14","Ctsd","Mirt1"
"191","Ier5","Lyst","Gabarap","N4bp1"
"192","Csf2rb","Cers6","Mbnl2","Ctnnb1"
"193","mt-Co3","Cxcl2","Pglyrp1","Igsf6"
"194","C5ar1","Hacd4","Csrnp1","Tax1bp1"
"195","Kctd12","Flna","Ddx3x","Entpd1"
"196","Sepn1","Stk17b","mt-Co1","Emilin2"
"197","Rbms1","Hcst","Bcl6","Arih2"
"198","Zyx","Rdh12","Adipor1","Rpl41"
"199","Zcchc6","Rps13","Cd53","Skap2"
"200","Tspo","Cyp4f18","Spi1","Etf1"
