"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6","SC78_5_factor7","SC78_5_factor8"
"1","Retnlg","Nfkbia","S100a9","Rps29","Il1b","Rsad2","S100a9","mt-Atp6"
"2","S100a8","Cxcl2","S100a8","Rps8","Cebpb","Isg15","S100a8","mt-Co3"
"3","Lyz2","Ccrl2","Actg1","Rps3","S100a9","Slfn4","Il1b","mt-Co2"
"4","S100a9","Tnfaip3","G0s2","mt-Atp6","Fth1","Ifitm3","Tmsb4x","mt-Co1"
"5","S100a6","Gadd45b","Srgn","Rpl10","Malat1","Rtp4","Wfdc17","mt-Cytb"
"6","Lcn2","Fth1","Malat1","Rpl9","Il1r2","Ifit1","Malat1","mt-Nd4"
"7","Wfdc21","Irg1","Tmsb4x","Rpl39","Srgn","Oasl1","Actb","Malat1"
"8","Lgals3","Il1b","Actb","Rps21","Ftl1","Herc6","Srgn","Xylt1"
"9","Mmp8","Zeb2","Fth1","Rps10","Tmsb4x","Parp14","Fos","mt-Nd2"
"10","Tmsb4x","Nfkbiz","Cebpb","Rpl23","Actg1","Trim30a","S100a11","Entpd1"
"11","Ifitm6","Birc3","Wfdc17","Rpl38","Dusp1","Ddx60","Csf3r","Il1r2"
"12","Actb","S100a9","Cxcl2","Rplp2","Kpna4","Gbp2b","Fth1","S100a9"
"13","Anxa1","Marcksl1","Slc16a3","Rpl8","H3f3b","Sp100","Msrb1","Neat1"
"14","Gapdh","Clec4e","Cd14","Rpl18","Spag9","Samhd1","Zfp36","Kpna4"
"15","mt-Co1","Malat1","Alcam","Rplp1","Xylt1","Malat1","Picalm","Dennd4a"
"16","mt-Atp6","Pim1","Il1b","Rpl41","Junb","Gm13822","Junb","Antxr2"
"17","Prdx5","Srgn","Eif1","Rpl27a","Dennd4a","Plac8","Rps9","Picalm"
"18","G0s2","Tmsb4x","S100a11","Rps14","Atf3","Irf7","Actg1","Hdc"
"19","Pglyrp1","Ifrd1","Cd44","Rps27","Eif1","Irg1","Dusp1","Gm42418"
"20","S100a11","Zfp36","Clec4d","Rpl13a","Cxcr4","B2m","Ftl1","Sorl1"
