"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7","SC78_9_factor8"
"1","Nfkbia","S100a9","Fau","Malat1","Ifitm6","S100a8","G0s2","Fth1"
"2","Cxcl2","Il1b","Tmsb4x","S100a9","S100a8","Retnlg","S100a9","Malat1"
"3","Ccrl2","Fos","Rps27","S100a8","S100a9","S100a9","Cxcl2","Hilpda"
"4","Irg1","Jun","Lst1","Fos","S100a6","Wfdc17","S100a8","Basp1"
"5","Il1b","Malat1","Rpl18a","Neat1","Ngp","Ifitm1","Actg1","Ftl1"
"6","Tnfaip3","Hsp90aa1","Tpt1","Picalm","Lcn2","BC100530","Cebpb","Mif"
"7","Fth1","Dusp1","Ptma","Arhgap15","Lyz2","Wfdc21","Cd14","Cxcl2"
"8","Birc3","Gm26825","Rps29","Klf2","Retnlg","Gm5483","Fth1","Cebpb"
"9","Clec4e","Fth1","Rpl27a","Arhgap26","BC100530","Fth1","Malat1","Srgn"
"10","Pde4b","Klf2","Il1b","Ccnd3","Tmsb4x","Stfa2","Srgn","Pgam1"
"11","S100a9","Junb","Malat1","Svil","Anxa1","Tmsb4x","Entpd1","Hcar2"
"12","Cd14","Tmsb4x","Rps27a","Lyst","Actb","S100a11","Antxr2","S100a9"
"13","Nfkbiz","Zfp36","Cst3","Dennd4a","Stfa3","S100a6","Wfdc17","Ccrl2"
"14","Ier3","Srgn","Ftl1","Ptprc","BC117090","Alox5ap","Slc16a3","Ier3"
"15","Pim1","Ubb","Rps16","mt-Co1","Stfa2","Actb","Sgms2","Bcl2l1"
"16","Gadd45b","Ftl1","Saa3","Akap13","Ly6g","Stfa2l1","Actb","Mcl1"
"17","Plek","S100a8","Rps10","Pag1","Wfdc21","Tspo","Xylt1","H3f3b"
"18","Malat1","Kpna4","Rpl41","Wfdc17","Cd177","Ifitm2","Il1b","Aldoa"
"19","Junb","Polr2a","Rpl39","Ssh2","Pglyrp1","Lcn2","Eif1","Gapdh"
"20","Srgn","Il1r2","Rpl19","Tmcc1","mt-Co1","Srgn","Retnlg","Tra2a"
"21","Cebpb","Btg1","Rps14","Cers6","Lgals3","Malat1","Chst11","Il1r2"
"22","Zfp36","Btg2","Ubb","Gda","Prdx5","Gapdh","Tmsb4x","Suco"
"23","G0s2","Hspa8","Rpl9","Fbxl5","Cd52","Actg1","Cmip","Tiparp"
"24","Ptafr","Ubc","Rps21","Csf3r","S100a11","Il1b","mt-Co1","S100a8"
"25","Mapkapk2","Dennd4a","Rps13","Pbx1","Prok2","Rps9","Trem1","Gab2"
"26","Marcksl1","Gadd45b","H3f3b","Gpcpd1","Gm5483","H3f3a","Mxd1","Tpi1"
"27","Ifrd1","Cebpb","Ppia","Dock2","Actg1","Cd52","Ndel1","Ero1l"
"28","Tmsb4x","Ier5","Rpl17","Sorl1","Gapdh","Hp","Spag9","Mbnl2"
"29","Zeb2","Ifitm1","Rps3a1","Igf1r","Alox5ap","Ubb","Cd9","Ubb"
"30","Rnf149","Actb","Rplp2","Gab2","Arhgdib","Msrb1","Plaur","Cdkn1a"
"31","Mxd1","Wfdc17","Rps3","Herc4","Malat1","Fau","Lmnb1","Pkm"
"32","Hdc","Actg1","Rpl23","Lyn","Mmp8","Ftl1","Pim1","Sdcbp"
"33","Actb","Litaf","Fcer1g","Srgn","Ifitm3","Tyrobp","Alcam","Fnip1"
"34","Dusp16","H3f3a","Fth1","Txnip","mt-Co3","Tpt1","Sik3","Fau"
"35","Kdm6b","Rps9","Rpl38","Cmip","Fth1","Rps27a","Btg1","Ldha"
"36","Mcl1","H3f3b","Rps23","Gm42418","H3f3a","Cebpb","Clec4d","Plin2"
"37","Dusp1","Klf6","Serf2","Dusp1","mt-Atp6","Ifitm3","Ifitm1","Zfp36l2"
"38","Arg2","Neat1","Rps9","Retnlg","Ifitm2","BC117090","Hdc","Eif1"
"39","Pik3ap1","Picalm","Hp","Tmsb4x","Aldh2","Dusp1","Smox","Eno1"
"40","H2-D1","Mcl1","Map1lc3b","Phf21a","Asprv1","mt-Co1","Il1r2","Tpt1"
