"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6","SC78_6_factor7","SC78_6_factor8","SC78_6_factor9"
"1","Ifitm6","Fth1","Nfkbia","Rps3a1","S100a8","Il1b","Malat1","Isg15","Fos"
"2","S100a8","Malat1","Ccrl2","Rps8","S100a9","S100a9","Alcam","Rtp4","Malat1"
"3","S100a9","Ftl1","Cxcl2","Rpl27a","Wfdc17","Cebpb","Xylt1","Gbp2b","Klf2"
"4","Retnlg","Basp1","Irg1","Rpl18a","Retnlg","Tmsb4x","Sgms2","Samhd1","Zfp36"
"5","Lcn2","Srgn","Zeb2","Rps3","Ifitm1","Malat1","Antxr2","Il1b","Dennd4a"
"6","Lyz2","Pgam1","Birc3","Rpl19","Il1b","Srgn","S100a9","Gbp2","S100a9"
"7","Tmsb4x","Mif","Gadd45b","Eef1a1","Tmsb4x","Actg1","Entpd1","Ifitm3","Kpna4"
"8","Prok2","Ero1l","Cd14","Rpl8","Fth1","Fth1","Cd44","Malat1","Il1b"
"9","S100a6","Cxcl2","Il1b","Rpl13a","Wfdc21","Ftl1","Cd14","Slfn4","Junb"
"10","Ly6g","Gapdh","Tnfaip3","Rps13","S100a6","Dusp1","Nedd9","Parp14","Picalm"
"11","Anxa1","Hilpda","Fth1","Rps23","Actg1","Junb","Spag9","G0s2","S100a8"
"12","Actb","Cebpb","Marcksl1","Rps27a","G0s2","Il1r2","mt-Co1","Irf1","Akap13"
"13","Fth1","Ldha","Nfkbiz","Rps10","Actb","H3f3b","Chst11","Irg1","mt-Co1"
"14","Ngp","Hcar2","Clec4e","Rps11","Tspo","Eif1","Sik3","H2-D1","Wfdc17"
"15","Mmp8","Tpi1","Pde4b","Rps14","Ifitm2","Actb","Cmip","Srgn","Tmcc1"
"16","Actg1","S100a9","Ifrd1","Rpl18","Cebpb","Ifitm2","S100a8","Gbp7","Ptprc"
"17","Wfdc21","Mcl1","Nfkb1","Ptma","S100a11","Tpt1","G0s2","B2m","Ssh2"
"18","BC100530","Ier3","Malat1","Rpl37a","Rps9","Ifitm1","Baz2b","Cd274","Dusp1"
"19","Cd177","Fam162a","Irak2","Cst3","Alox5ap","G0s2","Cebpb","H2-T23","Arhgap15"
"20","Gapdh","Aldoa","G0s2","Rpl30","Gapdh","H3f3a","Slc16a3","H2-K1","Stat3"
"21","Lgals3","Pkm","Pim1","Rpl9","Srgn","Mcl1","Srgn","Stat1","Neat1"
"22","Ifitm3","Cdkn1a","Nlrp3","Rpl17","H3f3a","Btg1","Actg1","Fth1","Csf3r"
"23","Pglyrp1","S100a8","Plek","Rpl11","Ftl1","Ubb","Igf1r","Plac8","Pbx1"
"24","Ifitm2","Pfkp","Mapkapk2","Rps27","Malat1","Tyrobp","Cyth1","Ftl1","Svil"
"25","Alox5ap","Bnip3","Ier3","Rpl23","Cxcl2","Fau","Ndel1","Cebpb","Lyst"
"26","Malat1","P4hb","Junb","Serf2","Ifitm3","Hdc","Neat1","Slfn1","Arhgap26"
"27","Prdx5","Ubb","Il1rn","Rpl13","Msrb1","Fcer1g","Cd9","Junb","Cers6"
"28","Wfdc17","Eno1","Srgn","Hnrnpf","Tyrobp","Btg2","Picalm","Cxcl2","Ube2h"
"29","H3f3a","H3f3b","Dusp16","Rps21","Tpt1","Rps9","Ctnnb1","Tmsb4x","Socs3"
"30","S100a11","Tiparp","Zfp36","Rpl21","Hp","Spag9","Smox","Igtp","Phf21a"
"31","G0s2","Eif1","Rnf149","Rps7","Rps27a","Msrb1","Cxcl2","Trim30a","Pag1"
"32","Aldh2","Slc2a1","Sod2","Rpl34","Lcn2","H2-D1","App","Psmb9","Cxcr2"
"33","Cd52","Egln3","S100a9","Cox4i1","Cd52","Pim1","mt-Co3","Oasl1","Tmsb4x"
"34","mt-Co1","Tpt1","Ptprj","Rpl39","Fau","S100a8","Fam107b","Psmb8","Sorl1"
"35","Tspo","Fau","Ehd1","Rpl38","Prdx5","Lmnb1","Actb","Prdx5","Fam49b"
"36","Arhgdib","Tmsb4x","Ptafr","Rpl41","Eif1","Litaf","Diaph1","Irf7","Ddx6"
"37","Tpt1","G0s2","2810474O19Rik","Rps16","Rac2","Plek","Cdk17","Sp100","Gcnt2"
"38","Pfn1","Pnrc1","Cebpb","Uba52","Anxa1","Lrg1","mt-Co2","Upp1","Gpcpd1"
"39","BC117090","Zfp292","Pik3ap1","Rps6","Txn1","Ddx5","Wfdc17","Actg1","Gm42418"
"40","Ftl1","Npepps","Sema4d","Rps2","Pfn1","S100a11","mt-Atp6","H3f3b","Fam65b"
"41","Rac2","Emilin2","Mxd1","Rpl24","Taldo1","Dennd4a","Clec4d","Tnfaip2","Btg2"
"42","Mgst1","P4ha1","Marcks","Btf3","BC100530","Xylt1","Hdc","Herc6","Skap2"
"43","Rps24","Neat1","Slfn2","Naca","Coro1a","Kpna4","Lyn","Ubb","Cd84"
"44","Hp","H3f3a","Ptgs2","Ppia","Lrg1","Cd44","Snx18","Pim1","Ifitm1"
"45","Stfa2","Tra2a","Slc7a11","Rps29","Arpc3","Neat1","Slc7a11","Ier3","Ipcef1"
"46","Cebpb","Junb","Kdm6b","Rplp1","H2-D1","Ets2","Btbd9","S100a9","Celf2"
"47","Lrg1","Cd9","Casp4","Rps5","Gm5483","Tpd52","Map2k4","Fcer1g","Trps1"
"48","Tkt","Mbnl2","Traf3","Cox8a","Mcl1","Csf3r","Gm42418","Irgm1","Stk17b"
"49","Arpc1b","Bsg","Rel","Rpl35a","Slc16a3","Trem1","Tpm4","Ifitm1","Dock2"
"50","Cyba","Ctsd","Hdc","Rplp2","Fcer1g","Wfdc17","Ptprc","Rsad2","Tpd52"
"51","Anxa2","Gab2","H2-Q7","Lst1","Trem1","Jund","Notch2","Slfn2","Ccnd3"
"52","Myl6","Cstb","Gsap","Rpl10","Arpc1b","Atf3","Mxd1","Mcl1","Gda"
"53","mt-Atp6","Ppp1r3b","Spag9","mt-Atp6","Ubb","Chst11","Hif1a","Tpt1","Rnf149"
"54","Rps9","Ccrl2","Rab8b","Rps15","Btg1","Pfn1","Lyst","Tmbim6","Arhgap24"
"55","mt-Co3","Litaf","Arg2","Rbm3","H3f3b","Arpc3","Il1r2","Eif1","Fbxl5"
"56","Tyrobp","Fxyd5","Tmsb4x","Cyba","Anxa2","Gabarap","Sorl1","Btg1","Zfp36l2"
"57","Coro1a","Hmox1","Erbb2ip","Gm10076","Cd14","Cdk2ap2","Adam8","Hdc","Iqgap1"
"58","Eif1","Il1r2","Cdc42ep2","Rpl22","Stfa2l1","Ptgs2","Hectd1","Ddx60","Usp32"
