"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6"
"1","Cd44","mt-Atp6","S100a9","Il1b","S100a8","Nfkbia"
"2","Malat1","mt-Co1","Il1b","Tmsb4x","S100a9","Ccrl2"
"3","Alcam","mt-Co2","Malat1","Cebpb","Tmsb4x","Zeb2"
"4","Entpd1","mt-Co3","S100a8","Srgn","G0s2","Cxcl2"
"5","Xylt1","mt-Cytb","Tmsb4x","Ftl1","Retnlg","Fth1"
"6","Srgn","mt-Nd2","Fos","Fth1","Actg1","Nfkb1"
"7","Antxr2","mt-Nd4","Dennd4a","S100a9","Fth1","Irg1"
"8","Sik3","mt-Nd1","Srgn","Actg1","Actb","S100a9"
"9","Chst11","mt-Nd5","Zfp36","Malat1","Srgn","Malat1"
"10","Actg1","Rps27a","Fth1","Dusp1","Cxcl2","Il1b"
"11","Btbd9","Rps29","Dusp1","Actb","S100a6","Nfkbiz"
"12","G0s2","Rps14","Il1r2","Eif1","Il1b","Marcksl1"
"13","Cebpb","Rps13","Neat1","G0s2","Cebpb","Srgn"
"14","Spag9","Rps16","Picalm","Msrb1","S100a11","Gadd45b"
"15","S100a9","Lyz2","Kpna4","Il1r2","Malat1","Irak2"
"16","Cmip","Rpl41","Csf3r","Cxcl2","Ftl1","Cebpb"
"17","Il1r2","Rpl37a","Junb","Junb","Eif1","Il1rn"
"18","Neat1","Rps27","Ssh2","H3f3b","Nedd9","Pde4b"
"19","Btg1","Rps10","Ptprc","Cd44","Plaur","G0s2"
"20","Hdc","Tmsb4x","Ftl1","Plek","Tyrobp","Nlrp3"
"21","Lyn","Eef1a1","Lyst","Spag9","Slc16a3","Kdm6b"
"22","Il1b","Rpl23","Sorl1","Tpt1","Cd14","Clec4e"
"23","Clec4d","Prdx5","Actb","Tyrobp","Antxr2","Tnfaip3"
"24","Plek","Rpl35a","Fam65b","Fau","H3f3a","Rnf149"
"25","Slc7a11","Rpl9","Arhgap15","Btg1","Msrb1","Plek"
"26","Cd9","Pfn1","Fam49b","Atp2b1","Dusp1","Mxd1"
"27","Ndel1","Cd52","Msrb1","Ets2","Ccl6","Junb"
"28","Cd14","Rpl18a","Mxd1","Mcl1","Cd44","Pim1"
"29","Runx1","Rpl10","Stk17b","S100a11","Btg1","Birc3"
"30","Baz2b","Cyba","Mcl1","Rps9","Entpd1","Ptprj"
"31","Actb","Oaz1","Tpd52","Lmnb1","Sgms2","Dusp16"
"32","Sgms2","Fau","Pbx1","Ptgs2","Rps9","Pik3ap1"
"33","Fam134b","Serf2","Cebpb","Litaf","Irg1","Cd14"
"34","Gab2","Tpt1","Gpcpd1","Lst1","Stx11","Tmsb4x"
"35","Plaur","Myl6","Actg1","Cd9","H3f3b","Rab8b"
"36","Cxcl2","Rps23","Skap2","Hdc","Clec4d","Hdc"
"37","Samsn1","Actb","Celf2","Xylt1","Lcp1","Dusp2"
"38","Diaph1","Rpl30","Map3k5","Ifitm2","Mxd1","Marcks"
"39","Mir142hg","Arpc2","Pag1","Pim1","Slc7a11","Dusp1"
"40","Slc16a3","Shfm1","Cers6","Clec4d","Plek","S100a8"
"41","Dusp1","Rpl17","H3f3a","Csf3r","Cd9","Ifrd1"
"42","Atp2b1","Rplp2","Hdc","Kpna4","Txn1","Actg1"
"43","Mxd1","Rac2","Entpd1","Dennd4a","Il1r2","Ehd1"
"44","Ctnnb1","Arpc1b","Litaf","Fxyd5","H2-D1","Erbb2ip"
"45","Ptprc","Rpl34","Phf21a","H3f3a","Fau","Ptafr"
"46","Hectd1","Rpl27a","Tmcc1","S100a8","Ifitm2","Rel"
"47","Map2k4","S100a9","Btg2","H2-D1","Taldo1","Sgms2"
"48","Lmnb1","Rps25","Retnlg","Btg2","Junb","Clec4d"
"49","Inpp5d","Calm1","Rnf149","Zfp36","Hdc","Fgr"
"50","Tlr4","Gng5","Cmip","Cxcr4","Tpt1","Spag9"
