"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4"
"1","Cxcl2","S100a8","S100a9","Ccrl2"
"2","S100a9","S100a9","S100a8","Malat1"
"3","S100a8","Retnlg","Wfdc17","Fth1"
"4","G0s2","S100a6","Ifitm1","Ftl1"
"5","Fth1","Ifitm6","Malat1","Il1b"
"6","Cebpb","BC100530","Tmsb4x","Tmsb4x"
"7","Il1b","Lcn2","Il1b","H3f3b"
"8","Wfdc17","Lyz2","Dusp1","Gadd45b"
"9","Actg1","Stfa2","Fos","Fau"
"10","Srgn","Tmsb4x","Srgn","Junb"
"11","Malat1","BC117090","Actb","Rps27"
"12","Cd14","Stfa3","Fth1","Ubb"
"13","Ifitm1","Anxa1","Retnlg","Srgn"
"14","Actb","Actb","Junb","Cebpb"
"15","Tmsb4x","Wfdc21","S100a11","Tpt1"
"16","Eif1","Gm5483","Rps9","Neat1"
"17","Retnlg","Mmp8","Csf3r","Nfkbia"
"18","Pim1","Ngp","Hp","Ifrd1"
"19","S100a11","mt-Co1","mt-Co1","Rplp2"
"20","Il1r2","Prdx5","Ifitm2","Jun"
"21","Mxd1","Gapdh","Klf2","Kpna4"
"22","Btg1","Pglyrp1","Wfdc21","Dusp1"
"23","Irg1","S100a11","Msrb1","Fos"
"24","Ifitm2","Cd52","Alox5ap","Rps29"
"25","Ftl1","Wfdc17","Actg1","Eif1"
"26","Trem1","Alox5ap","Ubb","Zfp36"
"27","Antxr2","Malat1","H3f3a","Ptma"
"28","mt-Co1","Ifitm3","Btg1","H2-D1"
"29","Slc16a3","Actg1","Ftl1","Btg1"
"30","Mcl1","Prok2","Picalm","Ppp1r15a"
"31","H3f3a","Fth1","Tyrobp","1700112E06Rik"
"32","Tpt1","Lgals3","Fau","Gab2"
"33","Lmnb1","Tspo","Zfp36","Klf2"
"34","H3f3b","mt-Co3","Mcl1","Plin2"
"35","Junb","Arhgdib","Gpcpd1","Plek"
"36","Entpd1","mt-Atp6","Cebpb","Mcl1"
"37","Rps9","H3f3a","Stfa2l1","Dennd4a"
"38","Clec4d","Ifitm2","Hdc","Hsp90aa1"
"39","Hdc","mt-Co2","Stk17b","Ubc"
"40","Sgms2","Cd177","Dennd4a","Rpl18a"
"41","Tpd52","Pfn1","Jund","Zfp36l2"
"42","Stfa2l1","Asprv1","Tpd52","B2m"
"43","Tyrobp","Mmp9","Grina","Rpl39"
"44","Fau","Cyba","Lcp1","Lst1"
"45","Litaf","Stfa2l1","Arhgap15","Ppia"
"46","Arg2","Tkt","Ptprc","Saa3"
"47","Picalm","Tpt1","Tpt1","Spag9"
"48","Ier3","Hp","H2-D1","Rpl41"
"49","Samsn1","Rac2","Il1r2","Rpl27a"
"50","Wfdc21","Coro1a","Gda","Rpl23"
"51","Smox","Tyrobp","S100a6","Il1r2"
"52","Plaur","Rps24","Cxcr2","H2-K1"
