"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6","SC78_1_factor7","SC78_1_factor8","SC78_1_factor9"
"1","S100a8","Fth1","Il1b","S100a9","S100a9","S100a9","mt-Co3","Malat1","Nfkbia"
"2","S100a9","Il1b","S100a9","S100a8","Fth1","Malat1","mt-Co2","Antxr2","Ccrl2"
"3","Lyz2","Cxcl2","Tmsb4x","G0s2","Cxcl2","Srgn","mt-Atp6","Entpd1","Fth1"
"4","Nedd9","Tmsb4x","Malat1","Tmsb4x","S100a8","Actg1","mt-Co1","Slc7a11","Malat1"
"5","Alcam","Malat1","S100a8","Actg1","Zeb2","Tmsb4x","mt-Cytb","Spag9","Il1b"
"6","Arhgap15","Cebpb","Zfp36","Il1b","Tmsb4x","Cebpb","mt-Nd4","Neat1","S100a9"
"7","Malat1","Ccrl2","Fos","Cebpb","Nfkb1","G0s2","Malat1","Il1b","Srgn"
"8","Lyst","Srgn","Fth1","Fth1","Malat1","Il1b","mt-Nd1","Srgn","Zeb2"
"9","Apbb1ip","Gadd45b","Dusp1","Actb","Nfkbia","Il1r2","mt-Nd2","Cd44","Cxcl2"
"10","Dock2","Actg1","Ftl1","Srgn","Srgn","Cd44","S100a9","Xylt1","Cebpb"
"11","Lgals3","Junb","Junb","S100a6","Il1b","Actb","Actb","Chst11","Tmsb4x"
"12","Zswim6","Ftl1","Srgn","Ftl1","G0s2","Eif1","Actg1","Il1r2","G0s2"
"13","Tmsb4x","Tpt1","Msrb1","S100a11","Irg1","Spag9","Fth1","Sgms2","Irg1"
"14","Prkcb","Nfkbia","Actb","Malat1","Ccrl2","Ftl1","Tmsb4x","S100a9","Cd14"
"15","Retnlg","Actb","Actg1","Eif1","Actb","Btg1","Ccnd3","G0s2","Actg1"
"16","Msra","S100a9","Csf3r","Cxcl2","Cd14","Dusp1","Srgn","Alcam","Nfkbiz"
"17","Actb","Eif1","Cebpb","Dusp1","Cebpb","Fth1","S100a8","Btbd9","Gadd45b"
"18","Arih1","Rps29","Dennd4a","Msrb1","Actg1","Xylt1","Kmt2e","Hdc","Junb"
"19","Cmip","Dusp1","Il1r2","Slc16a3","Nfkbiz","Entpd1","Elmo1","Cebpb","Plek"
"20","Cdk2ap2","G0s2","Mxd1","Retnlg","Sgms2","H3f3b","Cebpb","Nedd9","Marcksl1"
"21","Neat1","Cd14","Lst1","Tyrobp","Pik3ap1","Plek","Rbm39","Sik3","Il1rn"
"22","Elmo1","H3f3b","S100a11","H3f3a","Ptprj","Tyrobp","Cd44","Arhgap15","Dusp1"
"23","Entpd1","Rps27","Fau","Junb","Marcksl1","Cd9","Gm42418","Clec4d","Birc3"
"24","Antxr2","Plek","Picalm","H3f3b","Il1rn","Cd14","Ftl1","Cmip","Actb"
