"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6","SC78_5_factor7"
"1","mt-Atp6","Retnlg","Nfkbia","Rsad2","Il1b","S100a9","S100a9"
"2","mt-Co3","S100a8","Cxcl2","Isg15","S100a9","Il1b","S100a8"
"3","mt-Cytb","S100a9","Ccrl2","Slfn4","Cebpb","S100a8","Malat1"
"4","mt-Nd4","S100a6","Tnfaip3","Ifitm3","Fth1","Malat1","Alcam"
"5","Rps8","Wfdc21","Gadd45b","Rtp4","Tmsb4x","Fos","Actg1"
"6","mt-Co2","Tmsb4x","Fth1","Oasl1","Malat1","Picalm","Srgn"
"7","Rpl8","Lcn2","Irg1","Ifit1","Srgn","Tmsb4x","Xylt1"
"8","mt-Nd2","G0s2","Il1b","Trim30a","Ftl1","Wfdc17","G0s2"
"9","Rps29","Actb","S100a9","Parp14","Actg1","Csf3r","Cd44"
"10","Rps3","Lyz2","Zeb2","Herc6","Il1r2","Srgn","Cebpb"
"11","mt-Co1","S100a11","Nfkbiz","Ddx60","Dusp1","Zfp36","Entpd1"
"12","Rpl9","Fth1","Birc3","Gbp2b","S100a8","Klf2","Sgms2"
"13","Rps21","Gapdh","Malat1","Sp100","H3f3b","Actb","Slc16a3"
"14","Rpl23","Actg1","Srgn","Malat1","Junb","Junb","Antxr2"
"15","Rpl18","Anxa1","Pim1","Samhd1","Kpna4","Ptprc","Cxcl2"
"16","Rps10","Lgals3","Clec4e","Gm13822","Actb","Dennd4a","Actb"
"17","Rplp2","Wfdc17","Marcksl1","Il1b","Rps9","Cxcr2","Clec4d"
"18","Rpl38","Gm5483","Tmsb4x","Irg1","Eif1","Gpcpd1","Chst11"
"19","mt-Nd1","Prdx5","Cebpb","B2m","Fau","Tpd52","Spag9"
"20","Rpl13a","Pglyrp1","Ifrd1","Ifi27l2a","Mcl1","Stk17b","Fth1"
"21","Rplp1","Cd52","Zfp36","Irf7","Msrb1","Dusp1","Cd14"
"22","Rpl10","Tspo","Plek","Oas3","Btg1","Sorl1","Btg1"
"23","Rpl39","BC100530","Pde4b","Plac8","Zfp36","Gcnt2","Nedd9"
"24","Rps14","Alox5ap","Mapkapk2","Srgn","H3f3a","Ssh2","Hdc"
"25","Rpl27a","Prr13","Junb","Gbp2","Ifitm2","Ddx6","Il1b"
"26","Rps3a1","Rps27a","Kdm6b","H2-K1","S100a11","Msrb1","Tmsb4x"
"27","Rps15","H3f3a","Cd14","Cd274","Dennd4a","Lcp1","Smox"
"28","Rpl41","Txn1","G0s2","Slfn1","Xylt1","Rnf149","Sik3"
"29","Rpl11","Rac2","Mxd1","Smchd1","Btg2","Cers6","Il1r2"
"30","Eef1a1","Ifitm2","Ptgs2","H2-D1","Tyrobp","Tmcc1","Mxd1"
"31","Runx1","Ifitm3","Actb","Fth1","Tpt1","Kpna4","Eif1"
"32","Rpl18a","Mmp8","Rnf149","Stat1","Ubb","Neat1","Cd9"
"33","Rps13","Pfn1","Irak2","Irf1","Spag9","Hdc","Wfdc17"
"34","Ptma","Tyrobp","Ptafr","Gbp7","Litaf","Arhgap26","Tpd52"
"35","Rps28","Coro1a","Actg1","Tmsb4x","Lmnb1","Mcl1","Slc7a11"
"36","Rps11","Hp","Nlrp3","Slfn5","Atf3","Svil","Cmip"
"37","Rps27","Ftl1","Ftl1","Ftl1","Csf3r","Phf21a","Irg1"
"38","Rpl37a","Ifitm6","Rab8b","Irgm1","Ets2","S100a11","Samsn1"
"39","Rpl35a","Rps9","Ier3","Slfn2","Cxcr4","Mxd1","Rnf149"
"40","Rpl34","Arhgdib","Mcl1","Parp9","Wfdc17","Fam65b","Btbd9"
"41","Rps7","Anxa2","Nfkb1","Slfn8","Mxd1","Skap2","Ptprj"
"42","Rps23","mt-Co1","Ptprj","H2-T23","Trem1","Btg2","Lmnb1"
"43","Rps15a","Malat1","Pik3ap1","Isg20","Tpd52","Arg2","Lilrb4a"
"44","Rps24","Mmp9","Erbb2ip","Cebpb","G0s2","Fth1","Plek"
"45","Wnk1","Stx11","Hdc","Ifih1","Rnf149","Arhgap15","mt-Co1"
"46","Rpl30","Srgn","Dusp16","Ddx58","Ifitm1","Marcks","Hif1a"
"47","Rpl17","Cyba","S100a8","Trafd1","Fcer1g","Akap13","Litaf"
"48","Tpt1","Ccl6","Dusp1","H3f3b","Isg15","Ube2h","Ndel1"
"49","mt-Nd5","Taldo1","Il1rn","Samd9l","Lst1","Cmip","Ctnnb1"
"50","Serf2","Mgst1","Ifitm2","S100a9","Zfp36l2","Fam49b","Sorl1"
"51","Rpl21","Plaur","Malt1","Mxd1","Ddx5","Lyn","Kpna4"
"52","Cox4i1","Lcp1","B2m","Rnf213","Slc16a3","Lyst","Neat1"
"53","Malat1","Mcemp1","Dennd4a","Ascc3","Ptgs2","Iqgap1","Plaur"
"54","Rps16","Itm2b","Spag9","Hdc","Ccrl2","Gm42418","Baz2b"
"55","Rpl28","Myl6","Marcks","Il1r2","H2-D1","Litaf","Emilin2"
"56","Rabac1","Msrb1","Eif1","G0s2","Ptprc","Btg1","App"
"57","Lst1","Hmgb2","Csf3r","Tor1aip1","Fos","Il1r2","Csf3r"
"58","Rpl26","Eif1","Arg2","Ccrl2","Hdc","Actg1","Picalm"
"59","Rps6","Pkm","Msrb1","Fcer1g","Plek","Gda","Igf1r"
"60","Atp2b1","Glrx","Btg1","Pim1","Lrg1","Rps9","Dusp1"
"61","Dock2","Atxn10","Clec4d","Oas2","Pim1","H3f3a","Arg2"
"62","Rps26","Fau","Lcp1","Btg1","Suco","Il1rap","Pik3ap1"
"63","Rpl19","Cebpb","H2-D1","Nampt","Txn1","Map3k5","S100a11"
"64","Gm10076","Arpc5","Ifitm1","Ly6e","Csrnp1","Hp","Ptprc"
"65","Rpl7","Fcer1g","Rps9","Eif1","Fxyd5","Plek","Gm42418"
"66","Hnrnpf","Gnai2","Tnfaip2","Junb","Entpd1","Ftl1","Lyn"
"67","Mir142hg","Cxcl2","H3f3a","Igtp","Neat1","Fbxl5","Tpm4"
"68","Hspa8","Arpc3","Sema4d","Zc3hav1","B2m","Lrg1","H3f3b"
"69","Rpl24","Lrg1","Ptprc","Chmp4b","Picalm","Osbpl9","Sp140"
"70","Fau","Il1b","Ehd1","Actg1","Antxr2","Pag1","Pim1"
"71","Rps27a","Serf2","Wfdc17","Psmb8","Jund","March7","Ddx6"
"72","Rbm3","Mxd1","Ets2","Actb","Pik3ap1","Ncf2","Lilr4b"
"73","Laptm5","R3hdm4","Lmnb1","Kpna4","Coq10b","Celf2","Mcl1"
"74","Uba52","Arpc1b","Btg2","Plek","Hmgb2","Usp32","Cd53"
"75","Rps25","Cdc42","Slc7a11","Mcl1","Stk17b","Hmgb2","Hectd1"
"76","Hsp90aa1","Ubb","2810474O19Rik","Sdcbp","Hcar2","Stat3","Fxyd5"
"77","Rpl36","Vasp","Tyrobp","Ifitm1","Cd44","Pde4b","Lcp1"
"78","mt-Nd4l","Stfa2l1","Ncf1","Lmnb1","Sh2d3c","Steap4","Ftl1"
"79","Diaph2","Gmfg","Tpd52","Zbp1","Vps37b","Ipcef1","H3f3a"
"80","Tmsb4x","Osm","Nr4a1","Usp18","Emilin2","Dock2","Cyth1"
"81","Cd300a","Shfm1","H2-K1","Txn1","Rps27","Cebpb","Vps4b"
"82","Cst3","H2-D1","H3f3b","Tmbim6","Cd9","Grina","Lyst"
"83","Calm1","Tpt1","Cd274","Fgl2","Egr1","Tyrobp","Grina"
"84","Atox1","Sh3bgrl3","Tnfrsf1b","Cmpk2","Sik3","Igf1r","Map2k4"
"85","Cxcr4","Mrpl33","Fau","Neat1","Sorl1","mt-Co1","Pde7b"
"86","Rps2","Gda","S100a11","Ubb","Etf1","Lmnb1","Snx18"
"87","Gpx1","Grina","Fcer1g","Zfp36","Rabgef1","Socs3","Gab2"
"88","Elmo1","Lsp1","Samsn1","Tnfaip2","Grina","Trps1","Slfn4"
"89","Pfn1","Cfl1","Snap23","Tyrobp","Ubc","H2-D1","Ifitm2"
"90","Ubb","Mrgpra2b","Sgms2","Ifitm2","Ddx3x","Entpd1","mt-Co2"
"91","D8Ertd738e","Cotl1","C5ar1","Msrb1","Map1lc3b","Snap23","Actr3"
"92","Rplp0","Rpl37","Traf3","Rab7","Lcp1","Jund","Ets2"
"93","Gnb1","Arpc2","Tpt1","Grina","Gm42418","Mctp2","Tyrobp"
"94","Ankhd1","Aldoa","Litaf","Psmb9","Pnrc1","Cd44","Ncf2"
"95","Psap","Msra","Antxr2","Casp4","Mbnl2","App","Il1rap"
"96","H3f3b","Gpx1","Rel","Sppl2a","Samsn1","Fgr","Ralgapa1"
"97","Morf4l1","Cd14","Chst11","Prdx5","Ccr1","Pbx1","Rab7"
"98","Ankrd44","Atp6v1g1","Slfn2","Ets2","Ier5","Ubb","Osbpl9"
"99","Eif5a","Stfa2","Lilrb4a","Btg2","Ndel1","Cd84","Ccr1"
"100","Pfdn5","Iqgap1","Abtb2","Tapbp","Alox5ap","Nfkbiz","mt-Co3"
"101","Camk1d","Myl12b","Ddx5","Sat1","Cxcl2","Ccnd3","Rabgef1"
"102","1700112E06Rik","Ostf1","Ier5","Litaf","Osbpl9","Ifitm1","Ctsd"
"103","Ankrd12","Asprv1","Gm42418","2810474O19Rik","March7","Ifitm2","Ankrd33b"
"104","Ftl1","Actr3","Il1r2","Lst1","Irg1","S100a6","Isg15"
"105","Rpl35","App","Fgr","Lilrb4a","Tiparp","Kdm7a","Sdcbp"
"106","Atp6v0e","Uba52","Pnrc1","Tap1","Braf","Rab8b","Diaph1"
"107","Arpc1b","Slc16a3","H2-Q7","Cd300lf","Fgl2","Sfxn5","Msrb1"
"108","Cdk2ap2","Trem1","Hcar2","Smox","Chst11","Zfp36l2","Stx11"
"109","Gng5","mt-Co2","Dusp2","Csf3r","Pfn1","Taldo1","Plin2"
"110","Sh3bgrl3","Zyx","Casp4","Cd52","Gabarap","Pla2g7","March7"
"111","Plac8","Rplp0","Lcp2","H3f3a","Arpc3","Coro1a","H2-D1"
"112","Eif5","Mcl1","Lst1","Lamp2","Hp","Ddx5","Jdp2"
