"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6","SC78_4_factor7","SC78_4_factor8","SC78_4_factor9"
"1","S100a9","Rsad2","Tmsb4x","mt-Co2","S100a9","Malat1","Nfkbia","S100a9","S100a8"
"2","Tmsb4x","Isg15","Srgn","mt-Cytb","S100a8","S100a9","Ccrl2","Il1b","S100a9"
"3","S100a8","Slfn4","Actg1","mt-Atp6","Il1b","Srgn","Cxcl2","Fth1","G0s2"
"4","Srgn","Il1b","Actb","mt-Co3","Tmsb4x","Cd44","Fth1","Tmsb4x","Retnlg"
"5","G0s2","Ifitm3","Cebpb","mt-Co1","Malat1","Chst11","Zeb2","S100a8","Actg1"
"6","Actg1","Malat1","Malat1","mt-Nd4","Fth1","Entpd1","S100a9","Srgn","Tmsb4x"
"7","Cebpb","Tmsb4x","S100a9","mt-Nd2","Actb","G0s2","Irg1","Malat1","Actb"
"8","Fth1","Srgn","Il1b","mt-Nd1","Srgn","Xylt1","Marcksl1","Cebpb","Srgn"
"9","Malat1","Ifi27l2a","Cd44","mt-Nd5","Dennd4a","Cebpb","Nfkb1","Actg1","S100a6"
"10","Il1b","Cebpb","G0s2","Rpl37a","Ftl1","Neat1","Srgn","G0s2","Plaur"
"11","Il1r2","Il1r2","Eif1","Rpl39","Fos","Il1b","Il1b","Ftl1","Cebpb"
"12","Actb","Actg1","Ftl1","Tmsb4x","Msrb1","Actg1","G0s2","Il1r2","Fth1"
"13","Cd44","Rtp4","Tyrobp","Malat1","Dusp1","Cmip","Malat1","Actb","Lyz2"
"14","Ftl1","G0s2","Tpt1","Eef1a1","Zfp36","Sgms2","Tmsb4x","Dusp1","Stx11"
"15","Dusp1","S100a9","Fth1","Rpl35a","Arhgap15","Alcam","Gadd45b","Msrb1","Cxcl2"
"16","Eif1","Dusp1","Il1r2","Rplp1","Csf3r","Antxr2","Cebpb","Junb","S100a11"
"17","Xylt1","Fth1","Btg1","Rps21","Picalm","Actb","Nfkbiz","Eif1","Malat1"
"18","Spag9","Actb","Ifitm2","Ppia","Junb","Cxcl2","Birc3","Zfp36","Ftl1"
"19","Entpd1","Ftl1","H3f3b","Rpl38","Actg1","Cd9","Junb","Litaf","Eif1"
"20","Cxcl2","Sp100","Cxcl2","Rplp2","S100a11","Spag9","Nlrp3","S100a11","Nedd9"
"21","Alcam","Irf7","Tgm2","Tpt1","Retnlg","Hdc","Clec4e","Plek","Il1b"
"22","Slc16a3","Junb","Fau","Actb","Ptprc","Slc7a11","Tnfaip3","Ccrl2","Slc16a3"
"23","Btg1","H2-D1","Msrb1","Rpl23","Pbx1","Il1r2","Pde4b","Entpd1","H3f3a"
"24","Sik3","Cd44","Cd9","Rps24","Stk17b","Fth1","Cd14","Xylt1","Cd44"
"25","S100a11","Ccrl2","S100a11","Rps29","Il1r2","S100a8","Il1rn","Csf3r","Ccl6"
"26","H3f3b","Cxcl2","Spag9","Fth1","Klf2","Mxd1","Dusp2","Pim1","Tyrobp"
"27","Cd9","Msrb1","Dusp1","Rps16","Rps9","Btg1","Mxd1","Cd44","Cd14"
"28","Clec4d","Plek","Pim1","Rps3a1","Tyrobp","Irg1","Actg1","H3f3b","Btg1"
"29","Plek","Neat1","Mir142hg","Rps10","Btg2","Lilrb4a","S100a8","Btg1","Gm5483"
"30","Chst11","B2m","H2-D1","Rpl13a","S100a6","Pim1","Actb","Tyrobp","Cd9"
"31","Tyrobp","Hdc","Plek","Rpl8","Tmcc1","Dusp1","Irak2","Mcl1","Clec4d"
"32","Junb","Pim1","Lst1","Ftl1","Sorl1","Atp2b1","Pim1","Neat1","Mxd1"
"33","Pim1","Irg1","Rps27","Rpl27a","H3f3a","Plaur","Kdm6b","Cxcl2","Msrb1"
"34","Lmnb1","Oasl1","Junb","Kansl1","Ubb","Rnf149","Rnf149","Lmnb1","Entpd1"
"35","Msrb1","Eif1","Chst11","Srgn","Ssh2","Nedd9","Plek","Slc16a3","Antxr2"
"36","Hdc","Mxd1","S100a8","Actg1","H2-D1","Plek","Ptprj","Rps9","Cyp4f18"
"37","Mcl1","Dennd4a","Fgl2","Fau","Kpna4","Clec4d","Ehd1","Tpd52","Dusp1"
"38","Litaf","Btg1","Hdc","Rps8","Cxcr2","Sik3","Rab8b","H2-D1","Sgms2"
"39","Cd14","Ly6e","Fxyd5","Rpl10","Lst1","Pik3ap1","Ftl1","Ets2","Samsn1"
"40","Fxyd5","Litaf","Pfn1","G0s2","Fau","Ptprc","Tnfaip2","Rnf149","Alcam"
"41","Samsn1","H2-K1","Entpd1","Rps23","Celf2","Kpna4","Eif1","Btg2","Arpc3"
"42","Antxr2","H3f3b","Clec4d","Rpl17","Fam49b","Litaf","Ccl3","Hdc","Lmnb1"
"43","Neat1","Smchd1","Litaf","S100a9","Fam65b","Ankrd33b","Hdc","Kpna4","H2-D1"
"44","Pik3ap1","Tyrobp","Xylt1","Ssh2","Skap2","Lmnb1","Erbb2ip","Mxd1","Litaf"
"45","Slc7a11","Mcl1","Rps29","mt-Nd4l","Btg1","Sorl1","Pik3ap1","Ddx5","H3f3b"
"46","Kpna4","Oas3","Tpd52","Rpl41","Ncf2","Btbd9","Ifrd1","H3f3a","Il1r2"
"47","Ets2","Xylt1","Fcer1g","Rps27a","Lyn","Junb","Vasp","Atf3","Irg1"
"48","Fau","Clec4d","Plaur","Rps3","Mctp1","Lyn","Dusp1","Fau","Hdc"
"49","Tpd52","Trim30a","Rps9","Uba52","Mxd1","Gcnt2","Btg1","Ifitm2","Grina"
"50","Plaur","Entpd1","Rpl9","Rps27","Mcl1","Samsn1","Ptafr","Cxcr4","Fxyd5"
"51","Sgms2","Atp2b1","H3f3a","Rpl30","Lcp1","Emilin2","Marcks","Hcar2","Pfn1"
"52","Atp2b1","Lmnb1","Alcam","Rpl26","Lyst","Tmsb4x","Tyrobp","Dennd4a","Osm"
"53","H3f3a","Spag9","Btg2","Rps12","Taldo1","Cd53","Rel","Lcp1","Cmip"
"54","H2-D1","Kpna4","Csf3r","Eif1","Cebpb","Cd14","H2-D1","Ptprc","Plek"
"55","Wnk1","Ptafr","Kpna4","Arhgap15","Ccl6","Baz2b","Spag9","Rabgef1","Ndel1"
"56","Gab2","Arhgap15","Mxd1","Cox7c","Gcnt2","Ccnl1","Ptgs2","Cd9","Tpt1"
"57","Mxd1","Cxcr4","Cd53","Rpl18","Hp","Picalm","Sgms2","Ankrd33b","Xylt1"
"58","Fam134b","Rnf149","Ptafr","Cfl1","Arg2","Tpd52","Clec4d","Ptgs2","Msra"
"59","Csf3r","Ptprc","Slc16a3","Rps15","Coro1a","Fam134b","Nr4a1","Picalm","Lyn"
"60","Irg1","S100a11","Kdm6b","Rps11","Neat1","Smox","Ncf1","Trem1","Slc7a11"
"61","Basp1","Egr1","Csf1","H3f3a","Jund","Ndel1","Mcl1","Samsn1","Adam8"
"62","Cd53","Ets2","Trib1","Rpl7","Plek","Dock2","Cd9","Clec4d","Txn1"
"63","Tgm2","Ptgs2","Lmnb1","Rps14","Lsp1","Dennd4a","Mapkapk2","Jund","Fcer1g"
"64","Tpt1","Lst1","C5ar1","Rpl34","Cmip","Nfkbiz","Ets2","Ubb","Pim1"
"65","Ptprc","Csf3r","Ccr1","Cebpb","Ccnd3","Cyth1","Arg2","Fos","Tpm4"
"66","Ccr1","Tpd52","Cd300lf","Msn","Gpcpd1","Csf3r","Dusp16","Fxyd5","Arhgap15"
"67","Ndel1","Slfn5","Ddx5","Rpl19","Phf21a","H2-D1","Ifitm2","Slc7a11","Mcemp1"
"68","Rnf149","Fgl2","Cd14","Rpl9","Cers6","Arhgap15","Ier5","Mbnl2","Lgals3"
"69","Btbd9","Zfp36","Gabarap","H3f3b","Pglyrp1","Eif1","Ptprc","Antxr2","Rps9"
"70","Inpp5d","Cd9","Mcl1","S100a8","Fxyd5","H3f3b","Csf3r","Chst11","Lcp1"
"71","Sorl1","Alcam","Marcksl1","Runx1","Myo1f","Slc16a3","Lmnb1","Atp2b1","Prdx5"
"72","Lst1","Btg2","Picalm","Btg1","Litaf","Irak2","Samsn1","Spag9","Sik3"
"73","Cmip","H2-T23","Ets2","Fcer1g","Iqgap1","Ctnnb1","Zfp36","S100a6","Ccr1"
"74","Arpc3","Ddx5","Rnf149","Uqcrh","Entpd1","Lcp1","H3f3b","Txn1","Itm2b"
"75","Rab7","Samsn1","Ptprc","B2m","Camk1d","Snx18","S100a11","Lyst","Mcl1"
"76","Lyn","Tnfaip2","Sorl1","Cst3","Tpd52","Pbx1","Msrb1","Sorl1","Baz2b"
"77","Ankrd33b","Rab7","Wnk1","Sgms1","Eif1","Lilr4b","B2m","Ncf2","Mir142hg"
"78","Mbnl2","Cmip","Dennd4a","Rps28","Lmnb1","Ddx6","Fgr","Sik3","Sp140"
"79","Emilin2","Txn1","Sik3","Ptprc","Zfp36l2","Actr3","H3f3a","Plaur","Cd52"
"80","S100a6","Rps9","Cmip","Rpl6","Cd52","Arg2","Nadk","Arg2","Hp"
"81","Tlr4","Ankrd33b","Atp2b1","H2-K1","Ppp3ca","Sdcbp","2810474O19Rik","Lst1","Fau"
"82","Braf","Sik3","Ier2","Il1b","Dock2","Rabgef1","Malt1","Suco","Gda"
"83","Ncf2","Ddx60","Cdk2ap2","Junb","Hdc","Braf","Cd44","Irg1","Coro1a"
"84","Btg2","Irak2","Taldo1","Prkcb","Cd44","Ccr1","Litaf","Coq10b","Wfdc21"
"85","Ddx5","Ifrd1","Lyn","Osbpl8","Rnf149","Rap1gap2","Slc7a11","Ctsd","Trib1"
"86","Pnrc1","S100a8","Ier3","Hnrnpf","Marcks","Rab7","Icam1","Cmip","Mmp9"
"87","Etf1","Slc16a3","Arpc2","Rps26","G0s2","1700112E06Rik","Neat1","Snap23","Ralgapa1"
"88","Plk3","Snap23","Ndel1","Pim1","Mmp9","Dusp16","Tnfrsf1b","Emilin2","Chst11"
"89","Txn1","Fxyd5","Ehd1","Nfkb1","Map3k5","Diaph1","Trem1","Sdcbp","Mrpl33"
"90","Dennd4a","Slfn1","Pla2g7","Elmo1","Txn1","Ftl1","Lcp1","Osbpl9","Arpc2"
"91","Ccnl1","Fcer1g","Rpl37a","H2-D1","Pfn1","Ets2","Dennd4a","Ndel1","Ets2"
"92","Sdcbp","Wnk1","Sdcbp","Rps13","Ipcef1","Lyst","Chst11","Braf","Klra2"
"93","Ptgs2","Fam134b","Jund","Nfkbiz","Xylt1","Map2k4","Ier3","Stk17b","Rac2"
"94","Slc15a3","Plaur","Cst3","Rpl21","Slc7a11","Ncf2","Cd274","Etf1","Mgst1"
"95","Lilrb4a","Samhd1","B2m","Rps2","Cd9","March7","Ctsz","Fam134b","Trem1"
"96","Osbpl9","Sorl1","Nudt4","Rps9","B2m","Tyrobp","Btg2","Pnrc1","Taldo1"
"97","Lyst","Ifitm2","Serf2","Cdc42","Svil","Igf1r","Abtb2","Gcnt2","Osbpl9"
"98","Arhgap15","Gm13822","Gab2","Ddx5","Gm42418","Hectd1","Ninj1","Ptafr","Tpd52"
"99","Rabgef1","Ccnl1","Rps27a","Zeb2","Hmgb2","Cd300lf","Lilrb4a","Csrnp1","Junb"
"100","Arg2","Fem1c","Cd52","Ncf2","Pla2g7","Gab2","Adgre5","Pbx1","Lilr4b"
