"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4"
"1","S100a9","Ccrl2","S100a9","mt-Co3"
"2","S100a8","Fth1","S100a8","mt-Co2"
"3","G0s2","Il1b","Tmsb4x","Rps8"
"4","Cxcl2","Malat1","Il1b","mt-Co1"
"5","Malat1","Cxcl2","Malat1","mt-Atp6"
"6","Srgn","Nfkbia","Fth1","Malat1"
"7","Actg1","S100a9","Wfdc17","Rplp1"
"8","Cebpb","Srgn","Retnlg","Rpl10"
"9","Fth1","Cebpb","Actb","Rps3"
"10","Il1b","Gadd45b","S100a6","mt-Cytb"
"11","Tmsb4x","Tmsb4x","Srgn","Zfp36l2"
"12","Cd14","Irg1","S100a11","Rplp2"
"13","Actb","Ftl1","Actg1","Rpl39"
"14","Antxr2","Junb","Ftl1","Wnk1"
"15","Entpd1","Dusp1","H3f3a","Inpp5d"
"16","Cd44","Pim1","Msrb1","mt-Nd4"
"17","Eif1","G0s2","Rps9","Rpl23"
"18","Sgms2","Actg1","Junb","Ccnd3"
"19","Xylt1","Actb","Hp","Rps13"
"20","Spag9","S100a8","Ifitm2","Rpl38"
"21","Slc16a3","Plek","Cebpb","Atp2b1"
"22","Alcam","Eif1","Ubb","Ubb"
"23","Il1r2","Ifitm2","Tyrobp","Rpl8"
"24","H3f3b","Mcl1","Fos","Rpl13a"
"25","Clec4d","Mxd1","Dusp1","Rpl37a"
"26","Btg1","Rnf149","Wfdc21","Rpl30"
"27","S100a11","H3f3b","Lrg1","Rps23"
"28","Ifitm2","Cd14","Ifitm1","Elmo1"
"29","Cd9","Zfp36","G0s2","Gls"
"30","Plaur","Hdc","Alox5ap","Hsp90aa1"
"31","Hdc","Dennd4a","Txn1","Rpl41"
"32","Ftl1","Clec4e","Mcl1","Rps29"
"33","Tpd52","Btg1","Tspo","Fam134b"
"34","Sik3","H2-D1","Taldo1","Rpl11"
"35","Mxd1","Zeb2","Mxd1","Polr2a"
"36","Chst11","Ifrd1","Coro1a","Rps21"
"37","Dusp1","Ptgs2","Anxa1","Rpl27a"
"38","Mcl1","Tyrobp","H2-D1","Rpl18"
"39","Samsn1","Msrb1","Csf3r","Rpl9"
"40","Ndel1","Spag9","Lcp1","Rps27"
"41","Lmnb1","Btg2","Hmgb2","Rbm39"
"42","Slc7a11","Kdm6b","Fau","Akap13"
"43","Wfdc17","Neat1","Picalm","Eef1a1"
"44","Plek","Ifitm1","Zfp36","Arhgap15"
"45","Tyrobp","Lmnb1","Btg1","Runx1"
"46","Irg1","H3f3a","Lcn2","Arih1"
"47","Trem1","Il1r2","Anxa2","mt-Nd2"
"48","H3f3a","Fcer1g","Cd52","H3f3b"
"49","Smox","Fau","Gapdh","Calm2"
"50","Litaf","Litaf","Ccl6","Rpl34"
"51","S100a6","Nfkbiz","Pglyrp1","Elmsan1"
"52","Tpt1","Ets2","Tpd52","Rps3a1"
"53","Neat1","Arg2","Pfn1","Dennd4a"
"54","Junb","Birc3","Fcer1g","Rps14"
"55","Pim1","Pik3ap1","Stk17b","Tmsb4x"
"56","Rnf149","Tpt1","Ptprc","Stk17b"
"57","Nedd9","Tpd52","Il1r2","Csf1"
"58","Fxyd5","Marcksl1","Eif1","Kpna4"
"59","Msrb1","Clec4d","Litaf","Rps10"
"60","Ets2","Rps9","Btg2","Ssh2"
"61","Rps9","Csf3r","Rps27a","Cst3"
"62","Arpc3","Tnfaip2","Rac2","Atf3"
"63","Btbd9","Ier3","Dennd4a","Rpl18a"
"64","Fcer1g","S100a11","Gda","Lncpint"
"65","Cmip","B2m","Hdc","Neat1"
"66","Picalm","Marcks","Cxcr2","Dock2"
"67","Lilrb4a","Ptprc","Ifitm3","Ftl1"
"68","Ddx5","Irak2","Iqgap1","Cxcr4"
"69","Baz2b","Nlrp3","Arg2","Rpl17"
"70","Btg2","Mapkapk2","H3f3b","Ankrd12"
"71","Isg15","Lst1","Cyba","Jun"
