"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6"
"29","G0s2","Sik3","Ncf2","Cd9","Birc3","Spag9"
"30","Hdc","H3f3b","Fau","Rnf149","Btg1","Cxcl2"
"31","S100a11","Msrb1","Retnlg","Cxcl2","Nlrp3","H2-D1"
"32","Litaf","Cd14","Btg2","Dusp16","Clec4e","Clec4d"
"33","Dock2","Slc16a3","Rps9","Sik3","Mxd1","Litaf"
"34","Plek","Btbd9","Lcp1","Arhgap15","Kdm6b","Fxyd5"
"35","Cxcl2","Dusp1","Neat1","Mxd1","Tyrobp","Antxr2"
"36","Mir142hg","Fxyd5","S100a6","Ptprc","Ifitm2","Pim1"
"37","Irak2","Chst11","Ubb","Ankrd33b","Ifrd1","Mxd1"
"38","Cmip","Ndel1","Lyst","Btbd9","Pde4b","H3f3a"
"39","Clec4e","Tpt1","H2-D1","Actg1","Rnf149","Tpd52"
"40","Spag9","Plek","Stk17b","Dusp1","S100a11","Sgms2"
"41","Cdk2ap2","H3f3a","Btg1","Lmnb1","Irak2","Ifitm2"
"42","Kmt2e","Cmip","Litaf","Pik3ap1","Msrb1","Chst11"
"43","Ankrd33b","Lmnb1","Eif1","Litaf","H2-D1","Csf3r"
"44","Entpd1","H2-D1","Taldo1","Nfkbiz","Hdc","Lmnb1"
"45","Ccnd3","Junb","Hdc","Lyn","Mcl1","Cd14"
"46","S100a6","Fau","Sorl1","Samsn1","Ptgs2","Xylt1"
"47","H2-D1","Clec4d","Gpcpd1","Ptgs2","Tnfaip3","Ets2"
"48","Mrpl33","Arpc3","G0s2","Junb","Spag9","Slc7a11"
"49","H3f3b","Mcl1","H3f3a","Sorl1","H3f3b","Btg2"
"50","Ankrd44","Hdc","Jund","Picalm","Csf3r","Plaur"
"51","Tpt1","Litaf","Fxyd5","Kpna4","Clec4d","Ndel1"
"52","Runx1","Ifitm2","Rnf149","Dock2","Cd44","Ptprc"
"53","Elmo1","Mxd1","Tpd52","Irg1","Ehd1","Fau"
"54","Lamp2","Fcer1g","Lmnb1","Ptprj","H3f3a","Neat1"
"55","Lilrb4a","Nedd9","Gcnt2","Irak2","Ptprj","Mcl1"
"56","Srrm2","Pim1","Tmcc1","Gcnt2","Cd9","Lst1"
"57","Antxr2","Neat1","Txn1","Fth1","Tnfaip2","Trem1"
"58","Rps16","Btg2","Arg2","Rab8b","Dennd4a","Irg1"
"59","Tyrobp","Pfn1","Slc7a11","Ndel1","Arg2","Rps9"
"60","Junb","Ccr1","Coro1a","Baz2b","Btg2","Ccr1"
"61","Cd9","Tpm4","Lsp1","Lyst","Pik3ap1","Samsn1"
"62","Slc7a11","Ankrd33b","Plek","Pde7b","Ptafr","Rnf149"
"63","Iqgap1","Rab7","Iqgap1","Rabgef1","Lcp1","Cmip"
"64","Tlr4","Sp140","Xylt1","Pim1","Litaf","Fcer1g"
"65","Atp2b1","Baz2b","Fam65b","Pbx1","Lmnb1","Alcam"
"66","Tpd52","Mir142hg","Atf3","Plaur","Ets2","Lcp1"
"67","Rplp1","Rps9","H3f3b","Btg1","Mapkapk2","Ddx5"
"68","Rasa3","Ncf2","Fcer1g","Osbpl9","S100a6","Ncf2"
"69","Coro1a","Emilin2","Cd44","Slc16a3","Marcks","Ptgs2"
"70","Ptprj","Arpc2","Hp","Ets2","Ddx5","Emilin2"
"71","Serf2","Ccl6","Cxcr2","App","Sgms2","Taldo1"
"72","Son","Slc7a11","Skap2","Kdm6b","Samsn1","Dennd4a"
"73","Ptprc","Retnlg","Ccrl2","Pde4b","Ier5","Sorl1"
"74","Fam49b","Ets2","Entpd1","Igf1r","Rel","Jund"
"75","Camk1d","Ptprc","Ddx5","Fam134b","Ptprc","Ankrd33b"
"76","Il1r2","Cyth1","Anxa2","Cyth1","C5ar1","Sik3"
"77","Ddx5","Mrpl33","Ndel1","Lilr4b","Slc7a11","Kdm6b"
"78","Samsn1","Arhgap15","Zfp36l2","Btg2","Dusp16","Tpt1"
"79","Basp1","Lyn","Arhgap15","Mcl1","Rps9","Isg15"
"80","Irg1","Trem1","Ifitm2","Arih2","Ier3","Plk3"
"81","Pde4b","Txn1","Fam49b","Arg2","Fcer1g","Lilrb4a"
"82","Fau","Sorl1","Cd9","Csf3r","Fxyd5","Mir142hg"
"83","App","Ddx5","Igf1r","Emilin2","Rab8b","Kpna4"
"84","H3f3a","Tpd52","Ccl6","Gab2","B2m","Arpc3"
"85","Rps9","Cdc42","Ptgs2","Actb","Chst11","Osbpl9"
"86","Zeb2","Trib1","Cmip","Mir142hg","Fgr","Grina"
"87","Dusp1","Csf3r","Pbx1","Abtb2","Entpd1","Txn1"
"88","Gng5","Lcp1","Svil","Mapkapk2","Il1r2","Ctnnb1"
"89","Ddx3x","Taldo1","Marcks","Nlrp3","Zfp36","Osm"
"90","Zfand3","Picalm","Klf6","Braf","Bcl2a1b","Braf"
"91","Pcbp2","Coro1a","Gm42418","Actr3","Fau","Fos"
"92","Eif1","Hectd1","Pim1","Ell2","Lst1","Atp2b1"
"93","Slc16a3","Samsn1","Fcgr3","Zcchc6","Tpd52","Tnfaip2"
"94","Sp100","Lilrb4a","Hmgb2","Elmo1","Vasp","Fgl2"
"95","Rps27a","Cyp4f18","Pglyrp1","Gm42418","Dusp2","Zfp36"
"96","Msra","Map2k4","Itgal","Ralgapa1","Trem1","Arg2"
"97","Lyn","Grina","B2m","Ctnnb1","Jund","Clec4e"
"98","Msrb1","Jund","Snap23","Tnfrsf1b","Abtb2","Trib1"
"99","Cyth1","Irg1","Osbpl9","Ccnl1","Neat1","Picalm"
"100","Sorl1","Itm2b","Map3k5","Ifrd1","Tnfrsf1b","Fosl2"
"101","Arid4a","Plk3","Stat3","Vmp1","Slc16a3","Adgre5"
"102","Rps27","Atp2b1","Ddx6","Slc15a3","Ninj1","Etf1"
"103","Ssh2","Rnf149","Fgl2","Chd2","Ncf1","Mrpl33"
"104","Rtn3","Cfl1","Itm2b","Ccr1","Nr4a1","Cd53"
"105","Stk17b","Cd52","Adgre5","Lcp1","Actr3","Rabgef1"
"106","Pbx1","Selk","Antxr2","Mctp1","Antxr2","Gab2"
"107","Dgkd","Sdcbp","Sh2d3c","Fosl2","Snap23","Coq10b"
"108","Ifitm3","Lyst","Pfn1","Ccrl2","Pfn1","Il1rn"
"109","Gnb1","Fam107b","Celf2","Tmsb4x","Erbb2ip","March7"
"110","Itga4","Lgals3","Grina","Cyp4f18","2810474O19Rik","Rab7"
"111","Mef2a","Vps37b","Cd84","Rap1gap2","Lilrb4a","Ell2"
"112","Ctnnb1","Anxa11","Lyn","Ptafr","Adgre5","Gcnt2"
"113","Lnpep","Myl6","Samhd1","Cd14","Rap1b","Nfkbiz"
"114","Actr3","Gcnt2","Anxa1","Trib1","Tpt1","Pla2g7"
"115","Gls","Notch2","Dock2","Eif1","Cd52","Btbd9"
"116","Top1","Ctnnb1","Cxcr4","Sp140","Plaur","Gabarap"
"117","Cdc42","Rps27","Sat1","Mirt1","Mir142hg","Iqgap1"
"118","Cd53","Cd53","Tgfbi","Rab7","Hspa5","Actr3"
"119","Lst1","Rac2","Zyx","Smox","Icam1","Tpm4"
"120","Pim1","Gabarap","Samsn1","Anxa11","Nadk","Snap23"
"121","Rpl37a","Fosl2","Pla2g7","Fam65b","Txn1","Itm2b"
"122","Ube2d3","Lyz2","Mbnl2","Cd53","Taldo1","Alox5ap"
"123","Pfn1","Rap1b","Etf1","Trps1","Gabarap","Csrnp1"
"124","Rpl41","Osbpl9","Rap1b","March7","Nr4a3","Nedd9"
"125","Alcam","Kpna4","Clec4d","Ddx6","H2-K1","Pnrc1"
"126","Osbpl9","Rhoa","Mmp9","Fbxo11","Ccl3","Lyn"
"127","Xylt1","Lsp1","Nr4a1","Osm","Ankrd33b","Sdcbp"
"128","Laptm5","Gnai2","Trem1","Tpm4","Ell2","D8Ertd738e"
"129","Diaph1","Osm","Gadd45a","Il1rap","Hcar2","Lilr4b"
"130","Tnfaip2","Fam134b","Rps27","Ago2","Nfe2l2","Ccrl2"
"131","Med13l","Ccnl1","Pag1","Myo1d","Slfn2","Cyp4f18"
"132","Igf1r","Ier2","Ltb","Fem1c","Ncf4","Ptafr"
"133","Luc7l2","Actr3","March7","Zfand3","Atp2b1","Lsp1"
"134","Csde1","Pik3ap1","Gm5150","Fndc3b","Pnrc1","Hp"
"135","Btg2","Slc11a1","Gnai2","Vps37b","Rabgef1","Fem1c"
"136","Eif5","Etf1","Cytip","2810474O19Rik","Lsp1","Nudt4"
"137","Lmnb1","Diaph1","Alox5ap","Ncf2","Arpc2","Ccl6"
"138","Mcl1","Pafah1b1","Rps27a","Inpp5d","Cfl1","Slc15a3"
"139","Vps37b","Nudt4","Fyb","Lrrc8d","Emilin2","Baz2b"
"140","Ppp2r5a","Inpp5d","Psap","Il1rn","Trib1","Pik3ap1"
"141","Nedd9","Lst1","Nfkbiz","Ddx3x","Rac2","Nlrp3"
"142","Rapgef6","Rabgef1","Ccr1","Fbxl5","Fgl2","C5ar1"
"143","Trem1","Adam8","Fgr","Ddx5","Alox5ap","B2m"
"144","Arih1","Myl12b","Spi1","Rab20","Cyba","Ccnl1"
"145","Braf","Arpc5","Cap1","Notch2","Slc15a3","Pfn1"
"146","Gab2","Igf1r","Tbc1d15","Fxyd5","Ddx3x","Egr1"
"147","Myl12b","Dusp5","Il1rap","Snap23","Zc3h12a","Sp140"
"148","Ankhd1","Egr1","Usp32","Gtdc1","Coro1a","Rap1b"
"149","Uvrag","Cstb","Gmfg","Rbms1","Picalm","Por"
"150","Ppp3ca","Gm42418","Gadd45b","Nup98","Lilr4b","Cxcr4"
"151","Ago2","Dhrs9","Rab8b","Marcks","Gpr132","Vps37b"
"152","Nptn","Cap1","Mctp1","H2-D1","Ndel1","Tnfrsf1b"
"153","Csf3r","Hp","Tnfaip2","Camk1d","Sema4d","Cyth1"
"154","Dock5","Isg15","Phf21a","Cers6","Rab11fip1","Fam134b"
"155","Picalm","Dennd4a","Lilrb4a","Trem1","Ccr1","Mapkapk2"
"156","Rap1b","Ptprj","Ier5","Snx18","Iqgap1","Irak2"
"157","Fam107b","Arhgdib","Hcar2","Stx11","Sorl1","Cd52"
"158","Paip2","Arpc1b","Elmo1","Nfkbia","Spi1","Anxa2"
"159","Trib1","Smox","Sfxn5","Mbnl2","Cd300a","Ddx6"
"160","Ets2","Cyba","Arpc1b","Sema4d","Arpc1b","Ddx3x"
"161","Gpcpd1","Dock2","Mapkapk2","Gnaq","Btbd9","Arpc1b"
"162","Chst11","Jdp2","Ets2","Gda","Pla2g7","Tgm2"
"163","Ndel1","Ptbp3","Atg3","Usp32","Kpna4","Ier3"
"164","Cox8a","Myo1d","Arpc2","Clec4e","H2-Q7","Ptprj"
"165","Slfn2","Pnrc1","Pip5k1b","Bcl2l11","Cmip","Cap1"
"166","Dyrk1a","Alox5ap","Cdc42","Eml1","Arpc3","Ier5"
"167","Dock11","Anxa2","Selplg","Etf1","Itm2b","Adam8"
"168","Arpc3","Gapdh","Arhgdib","Rbpj","Sod2","Arpc5"
"169","Pik3ap1","Ell2","Gab2","Nfkb1","Hck","Sepn1"
"170","Baz2b","Snx18","Kras","Wnk1","Fbxo11","Smox"
"171","Prex1","Map1lc3b","Fbxl5","Por","Cxcr4","Stk17b"
"172","Lcp1","Ube2d3","Gabarap","Sp100","Cap1","Myl12b"
"173","Smox","Pglyrp1","Apbb1ip","Egr1","Ctsz","Arih2"
"174","Fyb","Ctsd","Sell","Tgoln1","Grina","Fmnl1"
"175","Sp140","Kctd12","Ipcef1","Zswim6","Tgm2","Coro1a"
"176","Prkcb","Braf","Cyba","Suco","Mrpl33","2810474O19Rik"
"177","Rac2","Sepn1","Emb","Fam107b","Coq10b","Arpc2"
"178","Notch2","Tlr4","Myo1f","Hif1a","Ppp1r15a","Igf1r"
"179","Itsn2","Lilr4b","Ssh2","Gsap","Snx18","Wnk1"
"180","Dock8","March7","Osm","Sntb2","Gmfg","Tlr4"
"181","Crebbp","Tiparp","Rps29","Sdcbp","Nfkbie","Ppp1r15a"
"182","Jdp2","Gab2","Sik3","Aff4","Skil","Kctd12"
"183","Dennd5a","Lamp2","Arhgap26","Top1","Neurl3","Itgal"
"184","Anxa2","Iqgap1","Gda","Basp1","Ncf2","Gmfg"
"185","Cdk17","Tnrc6b","Myl12b","Plk3","Gm42418","Gm42418"
"186","Gabarap","Cltc","Chst11","S100a6","Ccnl1","Ppp1r2"
"187","Fxyd5","Gng5","Akap13","Dhrs9","Lcp2","Zyx"
"188","Ptpn1","Zcchc6","H2-K1","Npepps","Gnai2","Map1lc3b"
"189","Inpp5d","Clic1","Map1lc3b","Tra2a","Myl12b","Gng5"
"190","Chd4","Ddx3x","Ankrd33b","Arhgap26","Lyn","Zcchc6"
"191","Cul3","Cotl1","Trps1","Tmcc1","Rab20","Tgoln1"
"192","Myo1d","Pbx1","Plaur","Tlr4","Ctnnb1","Tiparp"
"193","Atp8b4","Slc25a3","Cd52","Trem3","Sik3","Myl6"
"194","Jund","Myh9","Ccnl1","Cd80","Cd274","Hmgb2"
"195","Zhx2","Fmnl1","Mctp2","Ppp1r3b","Ier2","Srsf5"
"196","Arih2","Prdx5","Ptafr","Svil","Snx20","Ubc"
"197","Pitpnc1","Atp6v0e","Serinc3","C5ar1","Ddx6","Hcar2"
"198","Wnk1","Pitpna","Cd300lf","Diaph1","Nedd9","Ralgapa1"
"199","H2afz","Ralgapa1","Coq10b","Itgal","Malt1","Rac2"
"200","Pla2g7","Lrrfip1","Tpt1","Tnfaip2","Fosl2","Inpp5d"
