"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5"
"1","mt-Atp6","Srgn","S100a9","Cxcl2","S100a8"
"2","mt-Co2","Cebpb","Il1b","Fth1","S100a9"
"3","mt-Co3","S100a9","Tmsb4x","Nfkbia","Retnlg"
"4","mt-Co1","Malat1","Malat1","Ccrl2","G0s2"
"5","mt-Cytb","Actg1","S100a8","S100a9","Tmsb4x"
"6","mt-Nd4","G0s2","Fth1","Il1b","Actg1"
"7","Eef1a1","Il1b","Srgn","Srgn","Actb"
"8","Rpl37a","Cd44","Ftl1","Irg1","Srgn"
"9","mt-Nd2","Il1r2","Actb","Malat1","S100a6"
"10","Rpl39","Tmsb4x","Msrb1","Cebpb","Fth1"
"11","mt-Nd1","Actb","Dusp1","G0s2","Cxcl2"
"12","Rplp1","Xylt1","Zfp36","Zeb2","Cebpb"
"13","Rps21","Entpd1","Dennd4a","Tmsb4x","Lyz2"
"14","Rpl35a","Fth1","Il1r2","Junb","S100a11"
"15","Rpl8","Dusp1","Junb","Actg1","Plaur"
"16","Rps10","Spag9","Fos","Marcksl1","Malat1"
"17","Rps3a1","Btg1","Actg1","Actb","Ftl1"
"18","Rps29","Chst11","Csf3r","Pim1","Il1b"
"19","Rps8","Eif1","Picalm","Mxd1","Slc16a3"
"20","Tpt1","Ftl1","S100a11","Cd14","Eif1"
"21","Tmsb4x","Alcam","Ptprc","Nfkbiz","Stx11"
"22","Rpl10","Cxcl2","Cebpb","Rnf149","Nedd9"
"23","Rpl17","Plek","Btg2","Plek","Ccl6"
"24","Rps16","S100a8","Tyrobp","Nfkb1","H3f3a"
"25","Rplp2","Pim1","Rps9","Ftl1","Tyrobp"
"26","Rpl38","Cd9","Stk17b","S100a8","Gm5483"
"27","Rpl23","Neat1","Kpna4","Irak2","Cd44"
"28","Rpl34","Hdc","H2-D1","Nlrp3","Btg1"
"29","Rpl27a","Clec4d","Ubb","Birc3","Cd9"
"30","Rpl41","H3f3b","Neat1","Kdm6b","Msrb1"
"31","Rps14","Atp2b1","Arhgap15","Eif1","Mxd1"
"32","Malat1","Junb","Mcl1","Dusp1","Clec4d"
"33","Actb","Litaf","Pbx1","Hdc","Dusp1"
"34","Rps12","Kpna4","H3f3a","Clec4e","Entpd1"
"35","Rpl18","Sik3","Btg1","Gadd45b","Arpc3"
"36","Rps3","Lmnb1","Sorl1","Pde4b","H3f3b"
"37","Rps23","Slc16a3","Fau","Btg1","Samsn1"
"38","Rps27","Tyrobp","S100a6","Spag9","Sgms2"
"39","Rps13","Plaur","Plek","Il1rn","Antxr2"
"40","Rpl9","Cd14","Mxd1","H2-D1","H2-D1"
"41","Fau","Mxd1","Lst1","Tyrobp","Lmnb1"
"42","Rpl30","Tpd52","Litaf","Clec4d","Litaf"
"43","Rpl26","H2-D1","Jund","Tnfaip2","Cd14"
"44","mt-Nd5","Cmip","Entpd1","Cd9","Il1r2"
"45","Rpl11","Antxr2","Lcp1","Ptafr","Irg1"
"46","Actg1","Ets2","Lyst","Cd44","Hdc"
"47","Gm10076","Msrb1","Klf2","Dusp2","Cyp4f18"
"48","Ftl1","Sgms2","Ccrl2","Pik3ap1","Alcam"
"49","Rps27a","Wnk1","Tpd52","Ets2","Plek"
"50","Fth1","Rnf149","G0s2","Mcl1","Fxyd5"
"51","Rpl18a","Fam134b","Arg2","Tnfaip3","Grina"
"52","Rps24","Fxyd5","Lmnb1","Csf3r","Xylt1"
"53","Rpl13a","Btbd9","Hdc","Lmnb1","Lyn"
"54","Srgn","Ptprc","Gcnt2","Sgms2","Osm"
"55","Cst3","S100a11","Fam49b","Ptprc","Cmip"
"56","Eif1","Csf3r","Eif1","Ptgs2","Slc7a11"
"57","G0s2","Slc7a11","Ncf2","H3f3b","Txn1"
"58","Marcksl1","Pik3ap1","Rnf149","Msrb1","Ndel1"
"59","Rps6","Samsn1","Ssh2","Ifitm2","Mcl1"
"60","Rpl28","Sorl1","Cxcr4","Litaf","Mcemp1"
"61","Ppia","Cd53","Xylt1","Ifrd1","Pfn1"
"62","Rpl21","Ccr1","Zfp36l2","Ehd1","Lcp1"
"63","Msn","Ankrd33b","Cd44","Neat1","Rps9"
"64","S100a9","Sdcbp","Cmip","Ptprj","Pim1"
"65","Cfl1","Irg1","Taldo1","Rab8b","Tpt1"
"66","Rpl7","Emilin2","Celf2","Chst11","Coro1a"
"67","Fcer1g","Tgm2","Cxcr2","S100a11","Fcer1g"
"68","Eef1b2","Ndel1","Skap2","Samsn1","Fau"
"69","H3f3b","Rab7","Lyn","Il1r2","Lgals3"
"70","Rps15","Dennd4a","Fam65b","Arg2","Arhgap15"
"71","Rac2","Mcl1","Fxyd5","Mapkapk2","Adam8"
"72","Rps26","Lilrb4a","Coro1a","Zfp36","Itm2b"
"73","Cebpb","Gab2","Ccl6","B2m","Prdx5"
"74","H3f3a","Btg2","Txn1","Marcks","Sik3"
"75","Btg1","Ccnl1","Gpcpd1","Dennd4a","Cd52"
"76","Rpl24","Ctnnb1","Ddx5","Dusp16","Hp"
"77","Pfn1","Ifitm2","Hp","Slc7a11","Junb"
"78","Kansl1","Basp1","Lsp1","2810474O19Rik","Msra"
"79","Rac1","Mir142hg","Slc7a11","Erbb2ip","Ralgapa1"
"80","Serf2","Fgl2","Pim1","Trem1","Ccr1"
"81","Nfkb1","Egr1","Tmcc1","Ier5","Trem1"
"82","H2-D1","Ptafr","B2m","Ier3","Tpm4"
"83","Tyrobp","Lyn","Snap23","Btg2","Taldo1"
"84","Ssh2","Braf","Trem1","H3f3a","Gda"
"85","Runx1","Picalm","Retnlg","Ccl3","Tpd52"
"86","Kdm6b","Rabgef1","Cd9","Vasp","Chst11"
"87","Cd9","Lst1","Antxr2","Lilrb4a","Mmp9"
"88","Pim1","Ddx5","Map3k5","Lcp1","Arpc2"
"89","Il1b","Ncf2","Samsn1","Ncf1","Baz2b"
"90","Lyz2","Isg15","Iqgap1","Nr4a1","Picalm"
"91","AF251705","Fem1c","Gm42418","Plaur","Osbpl9"
"92","Arpc2","Plk3","Hmgb2","Rel","Ets2"
"93","Hnrnpf","March7","Ptgs2","Tnfrsf1b","Klra2"
"94","Rps9","Tpt1","Marcks","Fgr","Mctp1"
"95","Junb","B2m","Mctp1","Rps9","Arg2"
"96","Rplp0","Trib1","Dock2","Ddx5","Trib1"
"97","Arhgap15","Fau","Camk1d","Adgre5","Lilr4b"
"98","B2m","H3f3a","H3f3b","Entpd1","Mrpl33"
"99","Ddx5","Lyst","Akap13","Ankrd33b","Mir142hg"
"100","Rps11","Rps9","Ndel1","C5ar1","Ptprj"
"101","Atf7ip","Etf1","Pfn1","Fxyd5","Sorl1"
"102","Asprv1","Cd300lf","Svil","Nadk","Ddx5"
"103","Cdc42","Slc15a3","Ifitm2","Lst1","Spag9"
"104","S100a8","Trem1","Osbpl9","Ctsz","Mgst1"
"105","Uvrag","Sp140","Alox5ap","Abtb2","Rac2"
"106","Ptprc","Hectd1","Clec4d","Actr3","Cyba"
"107","Uba52","Ptgs2","Atf3","Snap23","Ptprc"
"108","Zeb2","Inpp5d","Pla2g7","Fcer1g","Ncf2"
"109","Tgm2","Lcp1","Anxa2","Tpd52","Ifitm2"
"110","Ubb","Gcnt2","Ccnd3","Antxr2","Sp140"
"111","Cd52","Nudt4","Ifi27l2a","Tpt1","Wfdc21"
"112","H2-K1","Cyth1","Cers6","S100a6","Ankrd33b"
"113","Rpl37","Smox","Adgre5","Ninj1","Lsp1"
"114","Ncf2","Ier3","Cd52","Fau","Lilrb4a"
"115","Rpl27","Arg2","Rap1b","Cmip","Arpc5"
"116","Fam107b","Fcer1g","Klf6","Nedd9","Hmgb2"
"117","Fxyd5","Gabarap","Pag1","Emilin2","Lyst"
"118","Laptm5","Arih2","Igf1r","Rap1b","Emilin2"
"119","Cxcl2","Lilr4b","Selplg","Lyn","Anxa1"
"120","Calm1","Ctsd","Gab2","H2-K1","Actr3"
"121","Tnfrsf1b","Mbnl2","Fcer1g","Rabgef1","Neat1"
"122","Vti1a","Tiparp","Usp32","Bcl2a1b","Ctsd"
"123","Taok1","Myo1d","Pglyrp1","Picalm","Lcn2"
"124","Ifitm3","Arhgap15","Rps27a","Kpna4","Btg2"
"125","Fyb","Igf1r","Elmo1","Txn1","Cd53"
"126","Uqcrh","Baz2b","Ccr1","Hspa5","Rnf149"
"127","Msrb1","Mirt1","Cytip","Ddx3x","Rps27a"
"128","Oaz1","Fosl2","Cap1","Slc16a3","Arhgdib"
"129","Sat1","Snap23","Ipcef1","Cd274","App"
"130","Elmo1","Kdm6b","Ppp3ca","Malt1","Diaph1"
"131","Rpl36","Dock2","Mmp9","Xylt1","Myl6"
"132","Dennd4a","Pbx1","Emb","Sema4d","Rdh12"
"133","Rps25","Rap1b","Syk","Dock2","Csf3r"
"134","Sp100","C5ar1","Phf21a","Snx18","Fosl2"
"135","Samsn1","Actr3","Sell","Jund","Cap1"
"136","Btg2","Irak2","Nr4a1","Iqgap1","Alox5ap"
"137","Eef2","Ptk2b","Itm2b","Sorl1","Pglyrp1"
"138","Vasp","S100a6","Myo1f","Sik3","Ier3"
"139","Ostf1","Iqgap1","Cyba","Ccnl1","Lst1"
"140","Plek","Fnip1","Zyx","Hcar2","Serf2"
"141","Pitpna","Zfp36","Tsc22d3","Slfn2","Tlr4"
"142","Lst1","Pnrc1","Ncor1","Ell2","Ddx6"
"143","Cox8a","Tnfrsf1b","Sat1","Atp2b1","Arpc1b"
"144","Clta","Mrpl33","Ltb","Lsp1","Il1rn"
"145","Arpc5","Tnfaip2","Atp2b1","Arhgap15","Gapdh"
"146","Gnai2","Tlr4","March7","Rab20","mt-Co1"
"147","Nfkbiz","Rap1gap2","Ddx3x","Pfn1","Anxa2"
"148","Nfkbia","Csrnp1","Fgl2","Fgl2","Sdcbp"
"149","Itga4","Txn1","Tpt1","Rab11fip1","Anxa11"
"150","Rps28","Nedd9","Sdcbp","Smox","Stfa2l1"
"151","Chchd2","Mapkapk2","H2-K1","Pla2g7","Gcnt2"
"152","Cox6b1","Grina","Nedd9","Ccr1","Slc15a3"
"153","Fam32a","Ccrl2","Ier5","Nfe2l2","Rap1gap2"
"154","Alcam","Ddx3x","Arhgdib","Icam1","Mmp8"
"155","Apbb1ip","H2-K1","Nfkbiz","Zc3h12a","Kpna4"
"156","Map4k4","Osbpl9","Mapkapk2","Rab7","Zyx"
"157","Ptpre","Dusp5","Grina","Mir142hg","Cdc42"
"158","Gab2","Jund","Tnfaip2","Pnrc1","Kctd12"
"159","Itch","1700112E06Rik","Rab8b","Cd53","Notch2"
"160","Cytip","Serinc3","Chst11","Trib1","Ppp1r3b"
"161","Pafah1b1","Il1rn","Prkcb","Gm42418","Nfkbiz"
"162","Gng5","Gm42418","Etf1","Rbpj","Plk3"
"163","Aldoa","Tpm4","Braf","Etf1","Gmfg"
"164","Ptpn6","Pfn1","Sh2d3c","Trem3","Ctnnb1"
"165","Rheb","Cxcr4","Arpc1b","Gcnt2","Gnai2"
"166","Hnrnpk","Por","Ctsd","Rps27","Cotl1"
"167","Atp2b1","Ddx6","Itgal","Ndel1","Glrx"
"168","Selk","Arpc2","Gmfg","Fam134b","Selk"
"169","Gm42418","Taldo1","Emilin2","Hck","Spi1"
"170","Eif5","Vps37b","Rpl37","Cd52","Snx18"
"171","Rpl19","Ifrd1","Tra2a","Neurl3","Rap1b"
"172","Cd44","Coq10b","Cxcl2","N4bp1","Rab7"
"173","Hnrnpc","Diaph1","Psap","Taldo1","Dennd4a"
"174","Hdc","Osm","Spi1","Nr4a3","Btbd9"
"175","Myl12b","Jdp2","Mir142hg","Gsap","Fmnl1"
"176","Ybx1","Sntb2","Lilrb4a","Lcp2","Etf1"
"177","Atox1","Sh2d3c","Hspa8","Vmp1","Trem3"
"178","Celf2","Csf1","Cd101","Zfand3","Fbxl5"
"179","Sgms1","Gpr35","Slfn4","Bcl2l11","Cyth1"
"180","Fam49b","Cdk2ap2","Mrpl33","Traf3","Gabarap"
"181","Mxd1","Pla2g7","Sik3","Adam17","Fam134b"
"182","Hspa5","Suco","Asap1","Alox5ap","Rabgef1"
"183","Npc2","Vmp1","Slc16a3","Slc15a3","Prr13"
"184","Kpna4","2810474O19Rik","Ubc","Pbx1","Sepn1"
"185","Stat3","Cyp4f18","Osm","Gabarap","C5ar1"
"186","Ly6e","Map2k4","Mbnl2","Alcam","Snap23"
"187","Prrc2c","Stk17b","Gm5150","Cd300a","Iqgap1"
"188","Hmha1","Smchd1","Cst3","Arpc2","Pkm"
"189","Prkcb","Rab20","Mctp2","Ncf4","4932438A13Rik"
"190","Qk","Dhrs9","Alcam","Ctnnb1","Ncf4"
"191","Arhgdib","Fndc3b","Ets2","Arih2","Sat1"
"192","Trem3","Sepn1","Map1lc3b","Ier2","Smox"
"193","Ptprj","Arpc3","Fcgr3","Spi1","Myh9"
"194","Cd300lf","Tgoln1","Coq10b","Btbd9","Ubb"
"195","Asap1","Snx18","Apbb1ip","Grina","Pbx1"
"196","Coro1a","Nfkbiz","Calm2","Cyba","Stk17b"
"197","Rapgef6","Adgre5","Pygl","Isg15","Jund"
"198","Jak1","Lamp2","Ptpn12","Skil","Map2k4"
"199","Man2b1","Ell2","Ankrd33b","Jak1","Ccnl1"
"200","Actr2","Ppp1r3b","Il1f9","Ctsd","Zcchc6"
